,heuristic_param,seed,n_gen,reward,accuracy,variance,update,n_steps_proc,n_steps_acc,n_steps
2551,5,26,54,27.7032954766645,0.15625,227.2360976935385,False,240160,62610,302770
2552,5,26,55,32.21941879525636,0.15625,352.9193912604079,False,243280,62610,305890
2553,5,26,56,22.862769671541606,0.15625,82.16508607964957,False,246400,62610,309010
2554,5,26,57,31.46902855397104,0.15625,171.3029275107761,False,249520,62610,312130
2555,5,26,58,39.468779279413184,0.15625,42.88537847356422,False,252640,62610,315250
2556,5,26,59,39.06861621079238,0.15625,103.25487358000198,False,255760,62610,318370
2557,5,26,60,39.42850201377556,0.15625,160.53690155796008,False,258880,62610,321490
2558,5,26,61,33.015678099656746,0.15625,109.0897018627098,False,262000,62610,324610
2559,5,26,62,13.835090188739876,0.15625,143.21425389259565,False,265120,62610,327730
2560,5,26,63,35.42959202248573,0.15625,18.21734408830209,False,268240,62610,330850
2561,5,26,64,39.0744018961672,0.15625,24.910727497098215,True,271360,83480,354840
2562,5,26,65,35.7519990252715,0.15625,90.35571844392425,False,274480,83480,357960
2563,5,26,66,39.45653520050199,0.15625,38.69683883497825,False,277600,83480,361080
2564,5,26,67,38.14616080181833,0.15625,6.777553081302301,False,280720,83480,364200
2565,5,26,68,27.7032954766645,0.15625,68.57284582490097,False,283840,83480,367320
2566,5,26,69,38.37798843477296,0.15625,13.388164071508973,False,286960,83480,370440
2567,5,26,70,35.7380891405652,0.15625,118.5894261639525,False,290080,83480,373560
2568,5,26,71,37.32258304464555,0.15625,7.64084251713153,False,293200,83480,376680
2569,5,26,72,35.40455041353489,0.15625,12.772151274194156,False,296320,83480,379800
2570,5,26,73,27.7032954766645,0.15625,34.030829975333376,False,299440,83480,382920
2571,5,26,74,23.282344473237885,0.15625,18.77038223597853,False,302560,83480,386040
2572,5,26,75,21.58767077207165,0.15625,101.08895200423808,False,305680,83480,389160
2573,5,26,76,33.38106494721124,0.15625,14.993979449429771,False,308800,83480,392280
2574,5,26,77,37.4909460847142,0.15625,121.82361210649933,False,311920,83480,395400
2575,5,26,78,27.7032954766645,0.15625,72.70538859869927,False,315040,83480,398520
2576,5,26,79,29.88235364661977,0.15625,127.8782760988225,False,318160,83480,401640
2577,5,26,80,31.22659218558901,0.15625,69.85003532623165,False,321280,83480,404760
2578,5,26,81,35.027149854079994,0.15625,26.41719178101584,False,324400,83480,407880
2579,5,26,82,18.83329756586958,0.15625,8.090371766331893,False,327520,83480,411000
2580,5,26,83,27.7032954766645,0.15625,1.4768198268456714,False,330640,83480,414120
2581,5,26,84,32.62046423130877,0.15625,46.39581767794034,False,333760,83480,417240
2582,5,26,85,23.32965223308344,0.15625,44.82022550995442,False,336880,83480,420360
2583,5,26,86,36.76553124904665,0.15625,32.106834786244704,False,340000,83480,423480
2584,5,26,87,35.210863845070534,0.15625,115.2893117036029,False,343120,83480,426600
2585,5,26,88,12.632784371042115,0.15625,41.67907606384021,True,346240,104350,450590
2586,5,26,89,36.49118602770075,0.15625,45.93854946319308,False,349360,104350,453710
2587,5,26,90,35.9090122044548,0.15625,10.125678588204874,False,352480,104350,456830
2588,5,26,91,26.036568852913355,0.15625,7.700286011434322,False,355600,104350,459950
2589,5,26,92,38.92373554221364,0.15625,103.84584994094232,False,358720,104350,463070
2590,5,26,93,27.28174048345237,0.15625,117.63268984078518,False,361840,104350,466190
2591,5,26,94,35.316446320095125,0.15625,36.06861274669788,False,364960,104350,469310
2592,5,26,95,33.65776434251249,0.15625,10.857680732634552,False,368080,104350,472430
2593,5,26,96,36.36183811035996,0.15625,11.122609168037338,False,371200,104350,475550
2594,5,26,97,37.219219264285776,0.15625,13.522425537006374,False,374320,104350,478670
2595,5,26,98,29.024484874704505,0.15625,24.83657147746731,False,377440,104350,481790
2596,5,26,99,21.232519663370088,0.15625,124.85568608361037,False,380560,104350,484910
2597,5,26,100,38.7724581797166,0.15625,39.07363736538802,False,383680,104350,488030
2598,5,26,101,37.398773821385554,0.15625,8.499128356271537,False,386800,104350,491150
2599,5,26,102,33.35440541594618,0.15625,24.837828777306623,False,389920,104350,494270
2600,5,26,103,37.8698577137,0.15625,111.50027154809122,False,393040,104350,497390
2601,5,26,104,27.7032954766645,0.15625,4.345155586550606,False,396160,104350,500510
2602,5,26,105,18.113903571601416,0.15625,68.56563766736174,False,399280,104350,503630
2603,5,26,106,22.667306842210227,0.15625,45.62245881329597,False,402400,104350,506750
2604,5,26,107,31.69014444109107,0.15625,55.24214913799271,False,405520,104350,509870
2605,5,26,108,27.713510814263515,0.15625,13.925767990933206,False,408640,104350,512990
2606,5,26,109,27.71500459886017,0.15625,45.413951682812815,False,411760,104350,516110
2607,5,26,110,32.46402828736044,0.15625,57.72922081472426,False,414880,104350,519230
2608,5,26,111,27.73855458709733,0.15625,119.54034241491247,False,418000,104350,522350
2609,5,26,112,27.51775126242261,0.26875,63.04741112488868,True,423360,125220,548580
2610,5,26,113,34.80481226421422,0.26875,77.75163961344933,False,428720,125220,553940
2611,5,26,114,27.7032954766645,0.26875,5.761913303786952,False,434080,125220,559300
2612,5,26,115,36.95376140882493,0.26875,53.97122985158812,False,439440,125220,564660
2613,5,26,116,27.73855458709733,0.26875,12.029763786875474,False,444800,125220,570020
2614,5,26,117,37.05890859446125,0.26875,8.062310597520353,False,450160,125220,575380
2615,5,26,118,28.39744251610042,0.26875,52.87281726303636,False,455520,125220,580740
2616,5,26,119,34.39350621592173,0.26875,16.337158914896733,False,460880,125220,586100
2617,5,26,120,27.73855458709733,0.26875,37.16746219565932,False,466240,125220,591460
2618,5,26,121,-13.501580664983132,0.26875,75.62026674437139,False,471600,125220,596820
2619,5,26,122,34.922430606823376,0.26875,11.208146041668758,False,476960,125220,602180
2620,5,26,123,28.195202209495683,0.26875,96.95934007334051,False,482320,125220,607540
2621,5,26,124,27.84021102972057,0.26875,8.173337476198437,False,487680,125220,612900
2622,5,26,125,36.76391491239141,0.26875,16.648118220718114,False,493040,125220,618260
2623,5,26,126,37.88985340773546,0.26875,15.546348248198496,False,498400,125220,623620
2624,5,26,127,16.720726769111753,0.26875,181.5528105069132,False,503760,125220,628980
2625,5,26,128,20.81531867528817,0.15625,66.90264054205042,True,506880,146090,652970
2626,5,26,129,36.23813828971862,0.15625,26.82109050569552,False,510000,146090,656090
2627,5,26,130,37.48457595002499,0.15625,1.7586987416958126,False,513120,146090,659210
2628,5,26,131,29.480835459561384,0.15625,23.20944368303541,False,516240,146090,662330
2629,5,26,132,39.52994286618217,0.15625,2.3737851026521555,False,519360,146090,665450
2630,5,26,133,38.506147236027736,0.15625,93.58223351644472,False,522480,146090,668570
2631,5,26,134,37.215330570893016,0.15625,4.455035730805632,False,525600,146090,671690
2632,5,26,135,35.14520968816709,0.15625,6.908628887149424,False,528720,146090,674810
2633,5,26,136,32.86498115675279,0.15625,16.531895453947932,False,531840,146090,677930
2634,5,26,137,35.611309727519014,0.15625,134.97637900476116,False,534960,146090,681050
2635,5,26,138,37.32890648042455,0.15625,23.62560575917949,False,538080,146090,684170
2636,5,26,139,29.16154070914217,0.15625,26.74349213960621,False,541200,146090,687290
2637,5,26,140,38.99344184072178,0.15625,85.20942278525729,False,544320,146090,690410
2638,5,26,141,37.587905127445616,0.15625,7.437786457566753,False,547440,146090,693530
2639,5,26,142,24.82382781437077,0.15625,6.297736560471081,False,550560,146090,696650
2640,5,26,143,32.475127005263786,0.15625,2.7020777363070074,False,553680,146090,699770
2641,5,26,144,39.31677406050254,0.15625,1.5293685800555137,False,556800,146090,702890
2642,5,26,145,38.04117292372423,0.15625,2.830715108349319,False,559920,146090,706010
2643,5,26,146,37.914534892085335,0.15625,3.335502609172779,False,563040,146090,709130
2644,5,26,147,30.150265541978094,0.15625,6.396159906663114,False,566160,146090,712250
2645,5,26,148,34.662348092848646,0.15625,3.117325635713386,False,569280,146090,715370
2646,5,26,149,38.32213141251967,0.15625,10.6637208812334,False,572400,146090,718490
2647,5,26,150,29.066534414053628,0.15625,3.1275099783013096,True,575520,166960,742480
2648,5,26,151,39.32106269844122,0.15625,3.463040957725512,False,578640,166960,745600
2649,5,26,152,39.270472905622285,0.15625,3.822571363970916,False,581760,166960,748720
2650,5,26,153,37.45373491434428,0.15625,5.554916566525774,False,584880,166960,751840
2651,5,26,154,29.946033413677647,0.15625,95.71009010155844,False,588000,166960,754960
2652,5,26,155,36.65785599352999,0.15625,6.199688181250234,False,591120,166960,758080
2653,5,26,156,38.50900878586928,0.15625,53.914793616081816,False,594240,166960,761200
2654,5,26,157,39.15899962907223,0.15625,118.40879810794527,False,597360,166960,764320
2655,5,26,158,39.21414989509876,0.15625,2.1794701403746903,False,600480,166960,767440
2656,5,26,159,38.7052408446984,0.15625,66.02995257558183,False,603600,166960,770560
2657,5,26,160,28.65786575783948,0.15625,77.67065921868445,False,606720,166960,773680
2658,5,26,161,31.42249750476522,0.15625,103.09812469471144,False,609840,166960,776800
2659,5,26,162,21.315893459377182,0.15625,67.27304052090527,False,612960,166960,779920
2660,5,26,163,37.5579721254325,0.15625,39.74199194934464,False,616080,166960,783040
2661,5,26,164,-15.286222024854396,0.15625,55.25277277909738,False,619200,166960,786160
2662,5,26,165,-26.94260761494761,0.15625,116.4768330033058,False,622320,166960,789280
2663,5,26,166,37.795424881905305,0.15625,201.84841665400583,False,625440,166960,792400
2664,5,26,167,-17.17438182523994,0.15625,193.84743864862116,False,628560,166960,795520
2665,5,26,168,38.72527721449215,0.15625,189.3113132167063,False,631680,166960,798640
2666,5,26,169,34.95303455736801,0.15625,187.1488554853668,False,634800,166960,801760
2667,5,26,170,35.821724375094256,0.15625,190.8789535897084,False,637920,166960,804880
2668,5,26,171,37.610304961775896,0.15625,11.002900398469384,False,641040,166960,808000
2669,5,26,172,37.243704231441896,0.15625,68.29328654918595,True,644160,187830,831990
2670,5,26,173,33.405105538273986,0.15625,173.30351166813085,False,647280,187830,835110
2671,5,26,174,37.07901020210704,0.15625,43.68184300244442,False,650400,187830,838230
2672,5,26,175,36.83537580738847,0.15625,21.198187829488308,False,653520,187830,841350
2673,5,26,176,32.033263052067994,0.15625,71.3163334408151,False,656640,187830,844470
2674,5,26,177,27.8429864516255,0.15625,260.0950657864863,False,659760,187830,847590
2675,5,26,178,32.0031088095649,0.15625,2.8226635862497718,False,662880,187830,850710
2676,5,26,179,36.37855300108215,0.15625,110.3957599327733,False,666000,187830,853830
2677,5,26,180,37.63388651764039,0.15625,227.98492555686065,False,669120,187830,856950
2678,5,26,181,-16.36430735008249,0.15625,362.27719096422464,False,672240,187830,860070
2679,5,26,182,39.13882445866076,0.15625,358.0237709605483,False,675360,187830,863190
2680,5,26,183,38.756330293357664,0.15625,513.8481230986988,False,678480,187830,866310
2681,5,26,184,39.27545365405221,0.15625,527.4322205542261,False,681600,187830,869430
2682,5,26,185,32.513458355243664,0.15625,190.6672509118956,False,684720,187830,872550
2683,5,26,186,36.1890316857094,0.15625,311.2954975307703,False,687840,187830,875670
2684,5,26,187,-20.09284880501752,0.15625,246.358776001457,False,690960,187830,878790
2685,5,26,188,38.32692850379076,0.15625,95.84595009442975,False,694080,187830,881910
2686,5,26,189,30.81469361063977,0.15625,111.26644385657706,False,697200,187830,885030
2687,5,26,190,29.176437468719023,0.15625,250.50132666385016,False,700320,187830,888150
2688,5,26,191,28.928281802061075,0.15625,106.87579219868616,False,703440,187830,891270
2689,5,26,192,29.31314996285001,0.15625,340.87739827421,False,706560,187830,894390
2690,5,26,193,-0.1733219683996356,0.15625,438.2166337007352,False,709680,187830,897510
2691,5,26,194,-16.412769609013935,0.15625,360.8296222296989,True,712800,208700,921500
