,heuristic_param,seed,n_gen,reward,accuracy,variance,n_steps_proc,n_steps_acc,n_steps
3592,10,13,87,67.37875898759543,0.49375,1653.8406195392297,637540,200710,838250
3593,10,13,88,63.89305259411668,0.49375,2266.693358636641,647400,200710,848110
3594,10,13,89,70.87562992244978,0.49375,1902.7319063829616,657260,223830,881090
3595,10,13,90,162.69983353499526,0.49375,1952.132629411789,667120,223830,890950
3596,10,13,91,124.9614433887496,0.49375,2719.4444946378912,676980,223830,900810
3597,10,13,92,249.5519787145128,0.49375,2403.5844879574506,686840,223830,910670
3598,10,13,93,235.50309352402004,0.49375,2836.0203206017336,696700,223830,920530
3599,10,13,94,241.7337578658503,0.49375,2197.249043014864,706560,223830,930390
3600,10,13,95,79.3813602946239,0.49375,847.121385070998,716420,223830,940250
3601,10,13,96,12.88357922991838,0.49375,2173.795849981281,726280,223830,950110
3602,10,13,97,-43.64408064545084,0.49375,1939.037699838585,736140,223830,959970
3603,10,13,98,0.4751508761947899,0.49375,1903.328332163104,746000,223830,969830
3604,10,13,99,196.26361557598725,0.49375,3390.365576060856,755860,223830,979690
3605,10,13,100,149.6577858928985,0.15625,140.791561992455,758980,244700,1003680
3606,10,14,1,0.8975330890353244,0.71875,315.24192259536346,14360,29870,44230
3607,10,14,2,11.78626274996746,0.71875,376.8577726986257,28720,29870,58590
3608,10,14,3,-19.944706704421677,0.71875,461.207462638156,43080,29870,72950
3609,10,14,4,-7.237597972467695,0.71875,297.47549335905285,57440,29870,87310
3610,10,14,5,13.914331034842524,0.71875,345.3610930813544,71800,29870,101670
3611,10,14,6,27.70348990636,0.71875,266.36791661174544,86160,29870,116030
3612,10,14,7,9.6142289481817,0.15625,253.6464919756796,89280,50740,140020
3613,10,14,8,-12.093545714863868,0.15625,244.51813412096055,92400,50740,143140
3614,10,14,9,-18.1490031363805,0.15625,209.7826461438808,95520,50740,146260
3615,10,14,10,11.252193786900673,0.15625,132.90019604025196,98640,50740,149380
3616,10,14,11,9.6142289481817,0.15625,75.76342502852809,101760,50740,152500
3617,10,14,12,28.436838408236703,0.15625,131.25454419961497,104880,50740,155620
3618,10,14,13,-17.296422108599977,0.15625,185.1000134039065,108000,50740,158740
3619,10,14,14,6.563160569430458,0.15625,344.1473102232127,111120,50740,161860
3620,10,14,15,27.7032954766645,0.15625,169.06844032845723,114240,50740,164980
3621,10,14,16,-129.22727494506026,0.15625,364.1686235158792,117360,50740,168100
3622,10,14,17,22.045453622096545,0.15625,414.9435831778293,120480,50740,171220
3623,10,14,18,16.18994795352507,0.15625,274.7207534622701,123600,50740,174340
3624,10,14,19,14.412948628683257,0.15625,226.2934325949906,126720,50740,177460
3625,10,14,20,-8.912722674525977,0.15625,315.6238982580725,129840,50740,180580
3626,10,14,21,25.912054706507583,0.15625,234.61539028689631,132960,50740,183700
3627,10,14,22,-21.16577178108536,0.15625,162.20986532080042,136080,50740,186820
3628,10,14,23,-41.30939241338104,0.15625,213.4625227017561,139200,50740,189940
3629,10,14,24,13.042340380675537,0.15625,409.0682713777392,142320,50740,193060
3630,10,14,25,17.89352474449877,0.15625,216.2433722013569,145440,50740,196180
3631,10,14,26,24.225773230781453,0.15625,249.7261819898052,148560,50740,199300
3632,10,14,27,33.67798069560635,0.15625,125.1995442953651,151680,50740,202420
3633,10,14,28,31.238430309681007,0.15625,116.2275709609432,154800,71610,226410
3634,10,14,29,-19.40087583336608,0.15625,122.59047411018908,157920,71610,229530
3635,10,14,30,27.810016400513582,0.15625,26.986946051160192,161040,71610,232650
3636,10,14,31,38.72754918708468,0.15625,264.9409910521315,164160,71610,235770
3637,10,14,32,-12.18555745375917,0.15625,83.70945468666278,167280,71610,238890
3638,10,14,33,37.83245425029317,0.15625,34.31792014147977,170400,71610,242010
3639,10,14,34,27.16673436888069,0.15625,359.0038905403292,173520,71610,245130
3640,10,14,35,26.744391510026126,0.15625,309.0459473049202,176640,71610,248250
3641,10,14,36,40.9828747828192,0.15625,325.3820451730145,179760,71610,251370
3642,10,14,37,-12.760059101290494,0.15625,255.2560423581764,182880,71610,254490
3643,10,14,38,31.175915952966413,0.15625,139.21659964142225,186000,71610,257610
3644,10,14,39,38.00346656305071,0.15625,5.687672292622798,189120,71610,260730
3645,10,14,40,31.9294526894843,0.15625,112.8934290635985,192240,71610,263850
3646,10,14,41,38.73015167219427,0.15625,13.959791841782366,195360,71610,266970
3647,10,14,42,30.78017443789423,0.15625,31.08612828377468,198480,71610,270090
