,N,seed,n_gen,n_eval,score,time
147,30,5,3,10,0.48582937372359497,2.93682861328125
148,20,5,3,10,0.4844171975036007,2.6137800216674805
149,10,5,3,10,0.4849678849410174,1.9138638973236084
150,50,5,4,1,0.016229958025393197,6.762923240661621
151,40,5,4,1,0.016530731919920768,6.180514812469482
152,30,5,4,1,0.0158062254819486,5.561466217041016
153,20,5,4,1,0.01650203925341593,5.087420225143433
154,10,5,4,1,0.016488217265537113,4.828218698501587
155,50,5,4,2,0.0,7.264628648757935
156,40,5,4,2,0.0,6.717180013656616
157,30,5,4,2,0.0,6.069195508956909
158,20,5,4,2,0.0,5.449444055557251
159,10,5,4,2,0.0,5.284742832183838
160,50,5,4,3,0.3310150422203353,12.074578285217285
161,40,5,4,3,0.33413580559684886,11.514305353164673
162,30,5,4,3,0.33497049860800476,10.680527210235596
163,20,5,4,3,0.3417370800618381,9.399208784103394
164,10,5,4,3,0.3533770277382399,8.740676164627075
165,50,5,4,4,0.4310202348980951,4.811441421508789
166,40,5,4,4,0.43216083418852863,4.197214603424072
167,30,5,4,4,0.4330552202517197,3.590930700302124
168,20,5,4,4,0.4343113960365955,3.0598621368408203
169,10,5,4,4,0.44153152138606744,2.5963985919952393
170,50,5,4,5,0.20973497730612153,5.766281843185425
171,40,5,4,5,0.2089017783380151,5.285490989685059
172,30,5,4,5,0.21045017851998585,4.8210837841033936
173,20,5,4,5,0.2093320346313844,3.5114150047302246
174,10,5,4,5,0.20935883040915734,2.788454532623291
175,50,5,4,6,0.20535651339874011,4.588313341140747
176,40,5,4,6,0.21132438322036345,3.9476659297943115
177,30,5,4,6,0.21366416071772967,3.3426673412323
178,20,5,4,6,0.20659266581204067,2.7441558837890625
179,10,5,4,6,0.2045453741400547,2.205662250518799
180,50,5,4,7,0.48882940731446406,3.868311643600464
181,40,5,4,7,0.4896412811693608,3.2897753715515137
182,30,5,4,7,0.4895505048619349,2.692991018295288
183,20,5,4,7,0.49041295545734087,2.111555576324463
184,10,5,4,7,0.4905413605592586,1.6225452423095703
185,50,5,4,8,0.442094265889919,5.163094997406006
186,40,5,4,8,0.44106057241052704,4.522527694702148
187,30,5,4,8,0.44124312360129303,3.9218335151672363
188,20,5,4,8,0.4413046223989795,3.3569135665893555
189,10,5,4,8,0.4410032979122203,2.9068644046783447
