,accuracy,n_solution,score,time
127,0.112,28,29577943.090063352,0.035874605178833
128,0.112,29,26454719.91974712,0.0358402729034423
129,0.112,30,32890692.24339599,0.0381994247436523
130,0.112,31,30392020.08633406,0.0351529121398925
131,0.112,32,31486640.140337072,0.0313682556152343
132,0.112,33,28660760.99884535,0.0325427055358886
133,0.112,34,30553862.297117647,0.0350959300994873
134,0.112,35,30159700.117113657,0.0408356189727783
135,0.112,36,32561037.33201515,0.0306043624877929
136,0.112,37,30517283.310068123,0.0366063117980957
137,0.112,38,33408795.976177678,0.0390002727508544
138,0.112,39,32983973.925098293,0.0323774814605712
139,0.112,40,33113342.80122952,0.0379421710968017
140,0.112,41,31862833.42226935,0.0442943572998046
141,0.112,42,31031544.95158557,0.0386736392974853
142,0.112,43,25997331.4690894,0.0295631885528564
143,0.112,44,32559807.76670348,0.0277111530303955
144,0.112,45,36499409.34492734,0.0311696529388427
145,0.112,46,31039414.05157024,0.0323307514190673
146,0.112,47,31016762.675869796,0.0331761837005615
147,0.112,48,25936400.220025644,0.03702974319458
148,0.112,49,29871507.37665637,0.0337500572204589
149,0.112,50,32143676.637637235,0.035806655883789
150,0.112,51,31052736.95432173,0.0353140830993652
151,0.112,52,31399197.34359826,0.0300433635711669
152,0.112,53,29416588.849037647,0.0305798053741455
153,0.112,54,29033851.4366774,0.0271897315979003
154,0.112,55,27428655.792510275,0.03196382522583
155,0.112,56,27606155.826711167,0.0352365970611572
156,0.112,57,29324625.46147173,0.037393569946289
157,0.112,58,29692942.79831371,0.038898229598999
158,0.112,59,32288606.818966765,0.0338120460510253
159,0.112,60,31537684.827567115,0.0285444259643554
160,0.112,61,28956286.801678445,0.0369415283203125
161,0.112,62,30705243.09025479,0.0349092483520507
162,0.112,63,29689847.581996795,0.0361244678497314
163,0.112,64,28489694.47861518,0.0366687774658203
164,0.112,65,31757117.07645031,0.0248887538909912
165,0.112,66,33114062.988698028,0.02516770362854
166,0.112,67,33776935.50005016,0.0262496471405029
167,0.112,68,35027504.41249565,0.0296072959899902
168,0.112,69,30999862.722964417,0.0299293994903564
169,0.112,70,22963618.245122544,0.0464582443237304
170,0.112,71,32514383.23041187,0.0378680229187011
171,0.112,72,29426164.54097033,0.046581745147705
172,0.112,73,30752075.237696115,0.0405583381652832
173,0.112,74,29680435.460908063,0.0462560653686523
174,0.112,75,26966873.942606345,0.0397851467132568
175,0.112,76,28986265.668682016,0.0305805206298828
176,0.112,77,32133790.540205862,0.0283641815185546
177,0.112,78,33147705.989371784,0.0290422439575195
178,0.112,79,27520705.77682891,0.0362961292266845
179,0.112,80,30465617.796488296,0.0282888412475585
180,0.112,81,29620753.932119533,0.0291149616241455
181,0.112,82,32565266.02636701,0.0301194190979003
182,0.112,83,33316053.339481927,0.0355892181396484
183,0.112,84,30631012.98698552,0.0306811332702636
184,0.112,85,29099993.941271555,0.0267605781555175
185,0.112,86,29189467.55677695,0.0362482070922851
186,0.112,87,31674513.526786078,0.0311360359191894
187,0.112,88,28222559.619362127,0.0401654243469238
188,0.112,89,29489711.0273274,0.0330772399902343
189,0.112,90,34482719.215624,0.021510362625122
190,0.112,91,31147422.92467961,0.0338513851165771
191,0.112,92,28440033.023659155,0.0368015766143798
192,0.112,93,29858384.666520607,0.0333983898162841
193,0.112,94,29450458.482145783,0.0326321125030517
194,0.112,95,32676014.508641608,0.0340545177459716
195,0.112,96,32137031.643388618,0.0288634300231933
196,0.112,97,30688044.868828345,0.0350866317749023
197,0.112,98,32697620.572153416,0.0317339897155761
198,0.112,99,29277189.76324288,0.0333902835845947
199,0.112,100,32307277.013239045,0.0284931659698486
200,0.223,1,30394578.161404524,0.0558876991271972
201,0.223,2,25111246.99779005,0.0483863353729248
202,0.223,3,25821220.757421147,0.0442616939544677
203,0.223,4,28006326.396879174,0.0447397232055664
204,0.223,5,32626172.64713374,0.0543179512023925
205,0.223,6,29853017.6590942,0.0443401336669921
206,0.223,7,31193227.949754585,0.0511748790740966
207,0.223,8,33741612.490909785,0.0423381328582763
208,0.223,9,30925263.26178969,0.0504209995269775
209,0.223,10,32026315.57992109,0.033017873764038
210,0.223,11,27041271.808182117,0.0401055812835693
211,0.223,12,26110193.22755273,0.0540142059326171
212,0.223,13,29954011.57326601,0.036189317703247
213,0.223,14,30179436.84884528,0.0443613529205322
214,0.223,15,31803281.825760435,0.0354151725769043
215,0.223,16,31509611.0162102,0.0405371189117431
216,0.223,17,34515261.47219521,0.0368986129760742
217,0.223,18,27934485.97164485,0.0686604976654052
218,0.223,19,27775182.58315565,0.0553524494171142
219,0.223,20,32259191.861198872,0.038536787033081
220,0.223,21,32309725.398717526,0.0447456836700439
221,0.223,22,29579628.365448456,0.0385310649871826
222,0.223,23,31480848.852613807,0.0347728729248046
223,0.223,24,26641780.838521328,0.0430769920349121
224,0.223,25,31498922.622369047,0.0441577434539794
225,0.223,26,29908532.251806017,0.0393087863922119
226,0.223,27,31845472.720668808,0.0400798320770263
227,0.223,28,29577943.090063404,0.0445334911346435
228,0.223,29,26454719.9197471,0.0447628498077392
229,0.223,30,32890692.243395936,0.0399012565612793
230,0.223,31,30392020.08633402,0.0408613681793212
231,0.223,32,31486640.140337165,0.0402605533599853
232,0.223,33,28660760.99884541,0.0458993911743164
233,0.223,34,30553862.29711774,0.0390489101409912
234,0.223,35,30159700.117113654,0.0378689765930175
