,accuracy,n_policy,reward,steps
307,0.7,7,7.1,7.1
308,0.7,8,112.3,112.3
309,0.7,9,36.7,36.7
310,0.7,10,15.5,15.5
311,0.7,11,7.1,7.1
312,0.7,12,6.7,6.7
313,0.7,13,27.4,27.4
314,0.7,14,7.1,7.1
315,0.7,15,17.7,17.7
316,0.7,16,12.7,12.7
317,0.7,17,83.9,83.9
318,0.7,18,7.1,7.1
319,0.7,19,7.1,7.1
320,0.7,20,23.2,23.2
321,0.7,21,20.0,20.0
322,0.7,22,7.3,7.3
323,0.7,23,7.4,7.4
324,0.7,24,119.3,119.3
325,0.7,25,127.4,127.4
326,0.7,26,229.2,229.2
327,0.7,27,110.8,110.8
328,0.7,28,7.3,7.3
329,0.7,29,6.7,6.7
330,0.7,30,7.3,7.3
331,0.7,31,7.1,7.1
332,0.7,32,6.7,6.7
333,0.7,33,6.9,6.9
334,0.7,34,6.9,6.9
335,0.7,35,49.8,49.8
336,0.7,36,7.1,7.1
337,0.7,37,6.7,6.7
338,0.7,38,113.1,113.1
339,0.7,39,28.9,28.9
340,0.7,40,18.3,18.3
341,0.7,41,10.1,10.1
342,0.7,42,60.7,60.7
343,0.7,43,6.9,6.9
344,0.7,44,19.9,19.9
345,0.7,45,340.9,340.9
346,0.7,46,7.3,7.3
347,0.7,47,22.0,22.0
348,0.7,48,17.7,17.7
349,0.7,49,6.7,6.7
350,0.7,50,8.8,8.8
351,0.7,51,211.2,211.2
352,0.7,52,6.9,6.9
353,0.7,53,37.1,37.1
354,0.7,54,213.4,213.4
355,0.7,55,7.1,7.1
356,0.7,56,7.1,7.1
357,0.7,57,6.9,6.9
358,0.7,58,7.1,7.1
359,0.7,59,7.3,7.3
360,0.7,60,6.9,6.9
361,0.7,61,66.9,66.9
362,0.7,62,6.7,6.7
363,0.7,63,6.9,6.9
364,0.7,64,42.9,42.9
365,0.7,65,12.4,12.4
366,0.7,66,6.9,6.9
367,0.7,67,19.8,19.8
368,0.7,68,34.5,34.5
369,0.7,69,7.1,7.1
370,0.7,70,6.9,6.9
371,0.7,71,7.3,7.3
372,0.7,72,6.9,6.9
373,0.7,73,119.3,119.3
374,0.7,74,6.9,6.9
375,0.7,75,7.1,7.1
376,0.7,76,169.2,169.2
377,0.7,77,20.0,20.0
378,0.7,78,36.7,36.7
379,0.7,79,7.1,7.1
380,0.7,80,6.9,6.9
381,0.7,81,6.9,6.9
382,0.7,82,7.3,7.3
383,0.7,83,7.3,7.3
384,0.7,84,69.0,69.0
385,0.7,85,6.9,6.9
386,0.7,86,76.4,76.4
387,0.7,87,16.7,16.7
388,0.7,88,6.7,6.7
389,0.7,89,134.3,134.3
390,0.7,90,7.1,7.1
391,0.7,91,24.3,24.3
392,0.7,92,45.3,45.3
393,0.7,93,11.5,11.5
394,0.7,94,6.9,6.9
395,0.7,95,21.6,21.6
396,0.7,96,7.3,7.3
397,0.7,97,60.4,60.4
398,0.7,98,7.3,7.3
399,0.7,99,97.1,97.1
400,0.6,0,275.0,275.0
401,0.6,1,6.1,6.1
402,0.6,2,5.7,5.7
403,0.6,3,65.6,65.6
404,0.6,4,6.1,6.1
405,0.6,5,5.9,5.9
406,0.6,6,16.5,16.5
407,0.6,7,6.1,6.1
408,0.6,8,92.0,92.0
409,0.6,9,32.1,32.1
410,0.6,10,13.1,13.1
411,0.6,11,6.1,6.1
412,0.6,12,5.7,5.7
413,0.6,13,23.0,23.0
414,0.6,14,6.1,6.1
415,0.6,15,15.5,15.5
416,0.6,16,11.2,11.2
417,0.6,17,55.7,55.7
418,0.6,18,6.1,6.1
419,0.6,19,6.1,6.1
420,0.6,20,18.6,18.6
421,0.6,21,16.7,16.7
422,0.6,22,6.3,6.3
423,0.6,23,7.0,7.0
424,0.6,24,69.8,69.8
425,0.6,25,72.5,72.5
426,0.6,26,201.0,201.0
427,0.6,27,84.9,84.9
428,0.6,28,6.3,6.3
429,0.6,29,5.7,5.7
430,0.6,30,6.3,6.3
431,0.6,31,6.1,6.1
432,0.6,32,5.7,5.7
433,0.6,33,5.9,5.9
434,0.6,34,5.9,5.9
435,0.6,35,42.2,42.2
436,0.6,36,6.1,6.1
437,0.6,37,5.7,5.7
438,0.6,38,79.6,79.6
439,0.6,39,27.1,27.1
440,0.6,40,15.1,15.1
441,0.6,41,8.9,8.9
442,0.6,42,44.8,44.8
443,0.6,43,5.9,5.9
444,0.6,44,16.4,16.4
445,0.6,45,285.5,285.5
446,0.6,46,6.3,6.3
447,0.6,47,17.8,17.8
448,0.6,48,14.7,14.7
449,0.6,49,5.7,5.7
450,0.6,50,8.0,8.0
451,0.6,51,192.4,192.4
452,0.6,52,5.9,5.9
453,0.6,53,31.4,31.4
454,0.6,54,162.7,162.7
455,0.6,55,6.1,6.1
456,0.6,56,6.1,6.1
457,0.6,57,5.9,5.9
458,0.6,58,6.1,6.1
459,0.6,59,6.3,6.3
460,0.6,60,5.9,5.9
461,0.6,61,52.3,52.3
462,0.6,62,5.7,5.7
463,0.6,63,5.9,5.9
464,0.6,64,36.2,36.2
465,0.6,65,10.5,10.5
466,0.6,66,5.9,5.9
467,0.6,67,16.3,16.3
468,0.6,68,27.0,27.0
469,0.6,69,6.1,6.1
470,0.6,70,5.9,5.9
471,0.6,71,6.3,6.3
472,0.6,72,5.9,5.9
473,0.6,73,95.1,95.1
474,0.6,74,5.9,5.9
475,0.6,75,6.1,6.1
476,0.6,76,123.3,123.3
477,0.6,77,16.2,16.2
478,0.6,78,30.3,30.3
479,0.6,79,6.1,6.1
480,0.6,80,5.9,5.9
481,0.6,81,5.9,5.9
482,0.6,82,6.3,6.3
483,0.6,83,6.3,6.3
484,0.6,84,51.3,51.3
485,0.6,85,5.9,5.9
486,0.6,86,57.1,57.1
487,0.6,87,14.3,14.3
488,0.6,88,5.7,5.7
489,0.6,89,93.6,93.6
490,0.6,90,6.1,6.1
491,0.6,91,20.0,20.0
492,0.6,92,39.9,39.9
493,0.6,93,10.6,10.6
494,0.6,94,5.9,5.9
495,0.6,95,19.9,19.9
496,0.6,96,6.3,6.3
497,0.6,97,49.1,49.1
498,0.6,98,6.3,6.3
499,0.6,99,65.9,65.9
500,0.5,0,206.1,206.1
501,0.5,1,5.2,5.2
502,0.5,2,5.0,5.0
503,0.5,3,41.4,41.4
504,0.5,4,5.2,5.2
505,0.5,5,5.1,5.1
506,0.5,6,12.9,12.9
507,0.5,7,5.2,5.2
508,0.5,8,78.1,78.1
509,0.5,9,29.5,29.5
510,0.5,10,11.2,11.2
511,0.5,11,5.2,5.2
512,0.5,12,5.0,5.0
513,0.5,13,19.8,19.8
514,0.5,14,5.2,5.2
515,0.5,15,13.1,13.1
516,0.5,16,9.4,9.4
517,0.5,17,44.2,44.2
518,0.5,18,5.2,5.2
519,0.5,19,5.2,5.2
520,0.5,20,14.4,14.4
521,0.5,21,14.5,14.5
522,0.5,22,5.3,5.3
523,0.5,23,5.7,5.7
524,0.5,24,41.7,41.7
525,0.5,25,61.2,61.2
526,0.5,26,172.2,172.2
527,0.5,27,63.0,63.0
528,0.5,28,5.3,5.3
529,0.5,29,5.0,5.0
530,0.5,30,5.3,5.3
531,0.5,31,5.2,5.2
532,0.5,32,5.0,5.0
533,0.5,33,5.1,5.1
534,0.5,34,5.1,5.1
535,0.5,35,36.7,36.7
536,0.5,36,5.2,5.2
537,0.5,37,5.0,5.0
538,0.5,38,59.6,59.6
539,0.5,39,20.1,20.1
540,0.5,40,11.7,11.7
541,0.5,41,7.6,7.6
542,0.5,42,37.0,37.0
543,0.5,43,5.1,5.1
544,0.5,44,13.1,13.1
545,0.5,45,234.2,234.2
546,0.5,46,5.3,5.3
547,0.5,47,13.9,13.9
548,0.5,48,11.8,11.8
549,0.5,49,5.0,5.0
550,0.5,50,7.0,7.0
551,0.5,51,166.6,166.6
552,0.5,52,5.1,5.1
553,0.5,53,23.5,23.5
554,0.5,54,96.5,96.5
555,0.5,55,5.2,5.2
556,0.5,56,5.2,5.2
557,0.5,57,5.1,5.1
558,0.5,58,5.2,5.2
559,0.5,59,5.3,5.3
560,0.5,60,5.1,5.1
561,0.5,61,42.5,42.5
562,0.5,62,5.0,5.0
563,0.5,63,5.1,5.1
564,0.5,64,31.2,31.2
565,0.5,65,9.2,9.2
566,0.5,66,5.1,5.1
567,0.5,67,11.8,11.8
568,0.5,68,22.4,22.4
569,0.5,69,5.2,5.2
570,0.5,70,5.1,5.1
571,0.5,71,5.3,5.3
572,0.5,72,5.1,5.1
573,0.5,73,73.6,73.6
574,0.5,74,5.1,5.1
575,0.5,75,5.2,5.2
576,0.5,76,78.0,78.0
577,0.5,77,12.5,12.5
578,0.5,78,22.5,22.5
579,0.5,79,5.2,5.2
580,0.5,80,5.1,5.1
581,0.5,81,5.1,5.1
