,steps,info_steps,seed,n_eval,max_step_per_eval,time,info_time,mean_reward
26,3490,3149.0,2,100,142.0,9.144299983978271,3491.4298339999996,390.42
27,3839,3380.0,2,100,152.0,10.066230297088623,4105.9856119999995,341.95
28,4188,3730.0,2,100,207.0,11.003788232803345,4697.004096999999,451.66
29,4886,4271.0,2,100,207.0,12.863283157348633,5982.830402999999,372.08
30,5235,4565.0,2,100,207.0,13.80084490776062,7209.114602999999,300.94
31,5933,5102.0,2,100,207.0,15.69595456123352,9252.999404999999,217.5
32,6282,5224.0,2,100,207.0,16.6022629737854,9617.460501000001,279.63
33,6980,6118.0,2,100,349.0,18.477383852005005,11224.519984000002,474.97
34,7329,6428.0,2,100,349.0,19.41494393348694,12618.096389000004,362.66
35,7678,6576.0,2,100,349.0,20.35250210762024,13130.505594000002,441.82
36,8376,7254.0,2,100,349.0,22.227627277374268,14273.429398000002,500.0
37,8725,7666.0,2,100,349.0,23.133938312530518,16185.506851000002,500.0
38,9423,8338.0,2,100,349.0,25.009058475494385,19007.490521000003,500.0
39,9772,8667.0,2,100,349.0,25.94662308692932,20550.481796,500.0
40,349,342.0,3,23,34.0,0.5601904392242432,6.615906999999999,129.14
41,698,679.0,3,40,59.0,1.497753381729126,315.774212,82.35
42,1396,1388.0,3,72,67.0,3.3627889156341553,1286.2957530000003,125.53
43,1745,1709.0,3,85,67.0,4.347224950790405,1912.386931,116.54
44,2443,2397.0,3,100,95.0,6.243537425994873,3010.86245,203.12
45,2792,2599.0,3,100,95.0,7.1810994148254395,3657.9652869999995,188.09
46,3490,3171.0,3,100,122.0,9.056217432022095,4838.341941999999,500.0
47,3839,3386.0,3,100,122.0,9.999306201934814,5576.234996999998,493.51
48,4188,3633.0,3,100,137.0,10.926838636398315,6736.805247999999,283.9
49,4886,4226.0,3,100,228.0,12.755078554153442,7820.069262,433.49
50,5235,4605.0,3,100,300.0,13.692638874053955,8477.082784999999,273.58
51,5933,5134.0,3,100,300.0,15.567757844924927,11376.869832,324.96
52,6282,5502.0,3,100,300.0,16.510872840881348,12176.839822999998,272.06
53,6980,6086.0,3,100,300.0,18.401621341705322,14799.676613000001,217.33
54,7329,6360.0,3,100,300.0,19.37043571472168,16665.488598000004,322.45
55,7678,6578.0,3,100,300.0,20.292367458343506,18192.549668,248.68
56,8376,7189.0,3,100,300.0,22.16748857498169,20905.929986000003,496.34
57,8725,7500.0,3,100,300.0,23.10505247116089,22122.678130000004,314.45
58,9423,8039.0,3,100,300.0,24.980172634124756,24073.932288000004,435.12
59,9772,8326.0,3,100,300.0,25.91773533821106,25490.510648000003,405.04
60,349,345.0,4,23,33.0,0.542076826095581,6.726000999999999,9.37
61,698,693.0,4,40,58.0,1.5108907222747803,48.760505,103.26
62,1396,1366.0,4,66,68.0,3.3860065937042236,498.863174,136.28
63,1745,1722.0,4,75,68.0,4.3134894371032715,829.139629,111.61
64,2443,2405.0,4,94,73.0,6.204233169555664,1842.4390619999997,99.78
65,2792,2782.0,4,99,134.0,7.18867301940918,2181.8112919999994,182.41
66,3490,3273.0,4,100,173.0,9.063795328140259,3023.579133999999,269.31
67,3839,3636.0,4,100,173.0,10.016983032226562,3675.0677619999997,191.4
68,4188,3870.0,4,100,173.0,10.938917875289917,4144.946228999999,320.21
69,4886,4451.0,4,100,173.0,12.895850419998169,5742.633709,286.52
70,5235,4735.0,4,100,200.0,13.83341121673584,6457.713289999999,178.74
71,5933,5271.0,4,100,200.0,15.697651386260986,8824.954040999999,285.35
72,6282,5569.0,4,100,200.0,16.63521933555603,9728.988744999999,459.57
73,6980,6152.0,4,100,217.0,18.49471688270569,11834.468168,303.38
74,7329,6321.0,4,100,217.0,19.59120488166809,12223.615703,440.99
75,7678,6654.0,4,100,217.0,20.51314091682434,13568.821913999998,495.67
76,8376,7316.0,4,100,349.0,22.378196239471436,16138.70496,468.57
77,8725,7507.0,4,100,349.0,23.300131797790527,16714.666613999998,409.24
78,9423,8167.0,4,100,349.0,25.190877437591553,19864.691352,441.99
79,9772,8350.0,4,100,349.0,26.11281442642212,21243.774498999996,463.85
80,349,345.0,5,27,35.0,0.5606746673583984,7.620966000000001,9.03
81,698,694.0,5,46,49.0,1.5138587951660156,53.413969,109.53
82,1396,1375.0,5,77,63.0,3.4514830112457275,617.518768,135.31
83,1745,1720.0,5,89,63.0,4.404667139053345,1067.397849,155.09
84,2443,2260.0,5,100,85.0,6.279789209365845,2465.7458220000003,305.5
85,2792,2575.0,5,100,270.0,7.222825050354004,2668.9583960000004,369.54
86,3490,3098.0,5,100,270.0,9.117026329040527,4483.472437,392.04
87,3839,3440.0,5,100,270.0,10.070208549499512,5496.882626,417.27
88,4188,3687.0,5,100,270.0,11.007771492004395,6012.752178999999,380.3
89,4886,4251.0,5,100,299.0,12.872764348983765,7248.9333769999985,401.49
90,5235,4506.0,5,100,299.0,13.794697523117065,7611.191223999998,392.17
91,5933,5128.0,5,100,299.0,15.675424814224243,10095.828697999998,476.08
92,6282,5454.0,5,100,299.0,16.784876585006714,11051.034619999997,487.24
93,6980,6067.0,5,100,299.0,18.66000270843506,14746.557792999998,493.08
94,7329,6349.0,5,100,299.0,19.60314178466797,16528.22746,351.98
95,7678,6614.0,5,100,299.0,20.540706872940063,18455.62416,486.86
96,8376,7307.0,5,100,299.0,22.400203704833984,21281.783607,493.99
97,8725,7469.0,5,100,299.0,23.337765216827393,23595.278770000004,315.24
98,9423,8189.0,5,100,349.0,25.187378883361816,26037.325903999998,500.0
99,9772,8251.0,5,100,349.0,26.124934673309326,26917.572459,492.33
100,349,339.0,6,21,43.0,0.5668637752532959,5.806203,27.26
101,698,640.0,6,36,44.0,1.520378828048706,78.525357,65.36
102,1396,1391.0,6,66,88.0,3.379873752593994,524.3823090000001,74.58
103,1745,1712.0,6,76,88.0,4.333055257797241,785.4985830000002,72.5
104,2443,2423.0,6,94,95.0,6.21377158164978,1448.8220700000004,82.66
