,accuracy,n_surf,score,n_eval
420,0.6,20,1.8953656554261662,30
421,0.6,21,2.0529453816241943,30
422,0.6,22,0.923720343549625,30
423,0.6,23,14.214104057867022,30
424,0.6,24,0.9193636855215129,30
425,0.6,25,1.2790868559492383,30
426,0.6,26,1.0650511743431834,30
427,0.6,27,1.0220129365190835,30
428,0.6,28,15.360789025591512,30
429,0.6,29,2.123345205184106,30
430,0.6,30,50.81843073117533,30
431,0.6,31,1.6886201313190128,30
432,0.6,32,0.9459714010897052,30
433,0.6,33,9.291205748915088,30
434,0.6,34,1.8953656554261662,30
435,0.6,35,4.099456151962161,30
436,0.6,36,5.505871910404106,30
437,0.6,37,76.61692987948045,30
438,0.6,38,1.411382748798158,30
439,0.6,39,2.394444972080692,30
440,0.6,40,1.7861073610960656,30
441,0.6,41,1.38486099885804,30
442,0.6,42,1.9005773451380448,30
443,0.6,43,2.0578500150557115,30
444,0.6,44,4.354082768597984,30
445,0.6,45,2.509964002203228,30
446,0.6,46,1.1648871340939595,30
447,0.6,47,15.801700620161057,30
448,0.6,48,14.398707532262886,30
449,0.6,49,1.0636252910753918,30
450,0.6,50,0.923720343549625,30
451,0.6,51,1.1952494626198418,30
452,0.6,52,1.6482912017117013,30
453,0.6,53,1.7172426155005185,30
454,0.6,54,1.0810923075287713,30
455,0.6,55,3.8351133438889753,30
456,0.6,56,1.8953656554261662,30
457,0.6,57,4.31853888772724,30
458,0.6,58,4.917401195476712,30
459,0.6,59,1.2933149036839529,30
460,0.6,60,2.7362823501191285,30
461,0.6,61,3.5356069075731806,30
462,0.6,62,4.1567938850676525,30
463,0.6,63,3.1046177963430437,30
464,0.6,64,5.598915701577082,30
465,0.6,65,0.9001143383019207,30
466,0.6,66,2.673382978931987,30
467,0.6,67,5.310297604201541,30
468,0.6,68,31.39577354801551,30
469,0.6,69,1.6569267677259,30
470,0.6,70,0.923720343549625,30
471,0.6,71,1.3537271441397638,30
472,0.6,72,0.6565423325031835,30
473,0.6,73,1.3511095018466206,30
474,0.6,74,1.4156855464750087,30
475,0.6,75,2.0812667680711936,30
476,0.6,76,0.9710822325698649,30
477,0.6,77,727.6395763942367,30
478,0.6,78,9.814968013724128,30
479,0.6,79,176.13610563845384,30
480,0.6,80,2.433551415138981,30
481,0.6,81,5.004013199790134,30
482,0.6,82,1.8953656554261662,30
483,0.6,83,0.9177531166819229,30
484,0.6,84,17.883697049417822,30
485,0.6,85,55.140106724528714,30
486,0.6,86,2408.243938673981,30
487,0.6,87,32.005833331611804,30
488,0.6,88,1.534651092653185,30
489,0.6,89,9.87290522588001,30
490,0.6,90,631.8815349372179,30
491,0.6,91,10.564620082864186,30
492,0.6,92,1.7228047232122132,30
493,0.6,93,1.8953656554261662,30
494,0.6,94,0.9546297395511666,30
495,0.6,95,1.7128356016936421,30
496,0.6,96,2.5733532776541788,30
497,0.6,97,1.13256105962724,30
498,0.6,98,159.04999821525954,30
499,0.6,99,0.923720343549625,30
500,0.5,0,18.44919533401851,25
501,0.5,1,4.230596226938639,25
502,0.5,2,126.90352589339582,25
503,0.5,3,1.1945646874724587,25
504,0.5,4,586.8921689238313,25
505,0.5,5,4.550458644710912,25
506,0.5,6,0.7963956628535154,25
507,0.5,7,4.7743778474494425,25
508,0.5,8,0.7963956628535154,25
509,0.5,9,2.433422731601669,25
510,0.5,10,0.7963956628535154,25
511,0.5,11,77.21956036835336,25
512,0.5,12,6.622620164904134,25
513,0.5,13,114.5147208990448,25
514,0.5,14,0.6124679595839779,25
515,0.5,15,2.7061099195992506,25
516,0.5,16,1.7623700371053652,25
517,0.5,17,0.49578034864841264,25
518,0.5,18,1.3669360343314496,25
519,0.5,19,80.38157561473676,25
520,0.5,20,1.7623700371053652,25
521,0.5,21,2.094114912751235,25
522,0.5,22,0.7963956628535154,25
523,0.5,23,16.1359093026863,25
524,0.5,24,0.7836441158078113,25
525,0.5,25,1.2304477817738937,25
526,0.5,26,0.9998402208525861,25
527,0.5,27,0.9295738194164955,25
528,0.5,28,17.362566489198194,25
529,0.5,29,2.1233879318834155,25
530,0.5,30,59.06944359043726,25
531,0.5,31,1.6846984139207288,25
532,0.5,32,0.852555955778848,25
533,0.5,33,10.052460450453687,25
534,0.5,34,1.7623700371053652,25
535,0.5,35,4.623459584755928,25
536,0.5,36,5.765457255628429,25
537,0.5,37,88.40373166375534,25
538,0.5,38,1.1936511309815918,25
539,0.5,39,2.3748805210347386,25
540,0.5,40,1.7117560244303431,25
541,0.5,41,1.2260614661613805,25
542,0.5,42,1.7675817268172436,25
543,0.5,43,2.133314611164248,25
544,0.5,44,4.57828455069931,25
545,0.5,45,2.709587000823115,25
546,0.5,46,1.093332237196182,25
547,0.5,47,14.346407977522388,25
548,0.5,48,11.458957995218125,25
549,0.5,49,1.0373584399220057,25
550,0.5,50,0.7963956628535154,25
551,0.5,51,1.0277480111759727,25
552,0.5,52,1.69971611516202,25
553,0.5,53,1.5842469971797173,25
554,0.5,54,1.0215148065570414,25
555,0.5,55,4.2763155243487585,25
556,0.5,56,1.7623700371053652,25
557,0.5,57,4.740874733503281,25
558,0.5,58,1.7710919937771834,25
559,0.5,59,1.2411284903489834,25
560,0.5,60,2.634076753495823,25
561,0.5,61,3.7778630711328263,25
562,0.5,62,2.5903548991898253,25
563,0.5,63,2.9112044899761607,25
564,0.5,64,5.104391987856238,25
565,0.5,65,0.7793212515303573,25
566,0.5,66,2.821905702438266,25
567,0.5,67,4.711930598606249,25
568,0.5,68,29.545547768440446,25
569,0.5,69,1.5630213821467942,25
570,0.5,70,0.7963956628535154,25
571,0.5,71,1.1418262344084433,25
572,0.5,72,0.5514320672126669,25
573,0.5,73,1.3174412463307572,25
574,0.5,74,1.5101230839627398,25
575,0.5,75,2.3620257271844407,25
576,0.5,76,0.9570945911060516,25
577,0.5,77,853.4601655936615,25
578,0.5,78,10.407354444879802,25
579,0.5,79,200.34593263582917,25
580,0.5,80,2.6432862357350086,25
581,0.5,81,4.305351675001406,25
582,0.5,82,1.7623700371053652,25
583,0.5,83,0.815418143297213,25
584,0.5,84,19.372618887062597,25
585,0.5,85,14.032773320547498,25
586,0.5,86,2718.736389887571,25
587,0.5,87,26.925647907346175,25
588,0.5,88,1.4461539358631874,25
589,0.5,89,10.753178952907003,25
590,0.5,90,440.92828708363385,25
591,0.5,91,4.52638764019657,25
592,0.5,92,1.4857452251760654,25
593,0.5,93,1.7623700371053652,25
594,0.5,94,0.8103249637527971,25
595,0.5,95,1.662054373323439,25
596,0.5,96,2.740735502155826,25
597,0.5,97,1.1964051288380073,25
598,0.5,98,164.36328065501854,25
599,0.5,99,0.7963956628535154,25
600,0.4,0,3.8050499555607638,20
601,0.4,1,3.720771597434586,20
602,0.4,2,139.1038744289346,20
603,0.4,3,1.3914334953312986,20
604,0.4,4,730.1512943036802,20
605,0.4,5,3.969778655149676,20
606,0.4,6,0.6259073892983262,20
607,0.4,7,5.13037399787694,20
608,0.4,8,0.6259073892983262,20
609,0.4,9,2.6706478008327847,20
610,0.4,10,0.6259073892983262,20
611,0.4,11,96.19524102003223,20
612,0.4,12,7.81588930499951,20
613,0.4,13,138.27698051904062,20
614,0.4,14,0.47993206522271714,20
615,0.4,15,2.707411915973127,20
616,0.4,16,1.5833753571131388,20
617,0.4,17,0.3845228370692014,20
618,0.4,18,1.3078616840998307,20
619,0.4,19,84.76528803165083,20
620,0.4,20,1.5833753571131388,20
621,0.4,21,2.247331475628379,20
622,0.4,22,0.6259073892983262,20
623,0.4,23,10.687251593356983,20
624,0.4,24,0.6029026281583826,20
625,0.4,25,1.1171637645387462,20
626,0.4,26,0.957531034260034,20
627,0.4,27,0.8423808514240504,20
628,0.4,28,20.32416415821305,20
629,0.4,29,2.384787477913529,20
630,0.4,30,69.9920030424889,20
631,0.4,31,1.5033423577171547,20
632,0.4,32,0.705991164541076,20
633,0.4,33,11.831233368922641,20
634,0.4,34,1.5833753571131388,20
635,0.4,35,3.1367400878657326,20
636,0.4,36,6.856216570216011,20
637,0.4,37,103.84075190846193,20
638,0.4,38,0.9207915148455346,20
639,0.4,39,1.7834777151291714,20
640,0.4,40,1.9067892652703649,20
641,0.4,41,1.1017187379430466,20
642,0.4,42,1.588587046825017,20
643,0.4,43,1.968417518767809,20
644,0.4,44,5.20491795524541,20
645,0.4,45,2.9913733890674274,20
646,0.4,46,1.008906101179395,20
647,0.4,47,16.713168893338345,20
648,0.4,48,10.663785164954175,20
649,0.4,49,1.03608595187504,20
650,0.4,50,0.6259073892983262,20
651,0.4,51,0.8007529081746532,20
652,0.4,52,1.8444552240712304,20
653,0.4,53,1.4052523171874907,20
654,0.4,54,0.9356218958002052,20
655,0.4,55,3.653548429648237,20
656,0.4,56,1.5833753571131388,20
657,0.4,57,4.825121048316958,20
658,0.4,58,1.6483759317930187,20
659,0.4,59,1.1516687002266957,20
660,0.4,60,1.1530612385586236,20
661,0.4,61,3.46423806542978,20
662,0.4,62,2.4458265481742294,20
663,0.4,63,2.829173162654756,20
664,0.4,64,4.721057747274302,20
665,0.4,65,0.6217438174558254,20
666,0.4,66,2.9835318255759957,20
667,0.4,67,5.4812357019858045,20
668,0.4,68,29.74910411198319,20
669,0.4,69,1.3476981395615133,20
670,0.4,70,0.6259073892983262,20
671,0.4,71,0.8238127565489343,20
672,0.4,72,0.4142358910032188,20
673,0.4,73,1.4833759303691427,20
674,0.4,74,1.6210768625899725,20
675,0.4,75,2.5464120639607697,20
676,0.4,76,0.9105259436985549,20
677,0.4,77,953.082806946128,20
678,0.4,78,11.143498474820623,20
679,0.4,79,236.09485011493365,20
680,0.4,80,2.7047437266099084,20
681,0.4,81,3.695659793252859,20
682,0.4,82,1.5833753571131388,20
683,0.4,83,0.6708147038084115,20
684,0.4,84,17.39298150412614,20
685,0.4,85,14.181624937883157,20
686,0.4,86,3038.556976495042,20
687,0.4,87,31.037613855718917,20
688,0.4,88,1.2701919742722756,20
689,0.4,89,4.654359213613741,20
690,0.4,90,508.8501835548378,20
691,0.4,91,3.329317506140131,20
692,0.4,92,1.3070829511129174,20
693,0.4,93,1.5833753571131388,20
694,0.4,94,0.6561731957796131,20
695,0.4,95,1.7754476665170102,20
696,0.4,96,3.0200518705531447,20
697,0.4,97,1.2623607757685942,20
698,0.4,98,158.75741107685405,20
699,0.4,99,0.6259073892983262,20
700,0.3,0,3.2756028453898876,15
701,0.3,1,4.088784960485094,15
702,0.3,2,64.18094733855455,15
703,0.3,3,1.5401106661586046,15
704,0.3,4,104.36448604297642,15
705,0.3,5,4.403964239708156,15
