,n_pts,seed,score_r2,score_mae
184,20,5,0.833579882392742,0.22601990430201993
185,20,6,0.7128994914796231,0.3100006006727249
186,20,7,0.4540318888331897,0.3245313712172824
187,20,8,0.999972520186364,0.0034068564889809306
188,20,9,0.5628789934559991,0.3546115565202145
189,20,10,1.0,3.0068540250264654e-17
190,20,11,0.7128994914796231,0.3100006006727249
191,20,12,0.694730263243537,0.25109042120232805
192,20,13,0.5808251119422378,0.305129953764189
193,20,14,0.9718002982133971,0.0914263009547029
194,20,15,0.6677723970854947,0.3131589374772706
195,20,16,0.5757505498745978,0.35691411039574394
196,20,17,0.9999987868192924,0.0007158296709442884
197,20,18,0.6575513072565768,0.26785994072949065
198,20,19,0.6985590555673225,0.2797305667532925
199,20,20,0.7196654573091221,0.3054996978352141
200,22,1,0.5585599480429921,0.3569387140468376
201,22,2,0.6476355413787458,0.33108677446882756
202,22,3,0.996119403590896,0.03238085247991319
203,22,4,0.9163189932588954,0.1647443218726449
204,22,5,0.998157837933836,0.023198964375136147
205,22,6,0.6767152678820542,0.2774354383037049
206,22,7,0.5625114732812406,0.2962518424153748
207,22,8,0.560762170273971,0.3475660724172283
208,22,9,0.6416962685784943,0.3316425117239902
209,22,10,1.0,3.7470027081099036e-17
210,22,11,0.7128994914796231,0.3100006006727249
211,22,12,0.7152685590942032,0.285056676951691
212,22,13,0.6515990434020011,0.3254243807008356
213,22,14,0.9560770901406858,0.10486542062130584
214,22,15,0.6677723970854947,0.3131589374772706
215,22,16,0.6207557265936556,0.3361687702961299
216,22,17,0.9982577004396062,0.023475362077885222
217,22,18,0.7196654573091221,0.3054996978352141
218,22,19,0.6675243082124538,0.29673662951108837
219,22,20,0.6805924524583657,0.25905714321991186
220,24,1,0.5585599480429921,0.3569387140468376
221,24,2,0.9949697609205278,0.039869620362890996
222,24,3,0.9999985541101472,0.0007814740353455594
223,24,4,0.7196654573091221,0.3054996978352141
224,24,5,1.0,3.0068540250264654e-17
225,24,6,0.6542948056964408,0.2758514374234463
226,24,7,0.3935701596096939,0.32625812176373425
227,24,8,0.9999051270852065,0.004676016566090542
228,24,9,0.6685419530535626,0.32152264337744396
229,24,10,0.6767152678820542,0.2774354383037049
230,24,11,0.9829582724072271,0.06502357761891907
231,24,12,0.9310123246171979,0.11862676708992517
232,24,13,0.5136477261729857,0.3603316332252683
233,24,14,0.9647392622401283,0.09632040222926079
234,24,15,0.9983076228880473,0.022727165698898055
235,24,16,0.6849098685039403,0.2820573890455462
236,24,17,1.0,3.7470027081099036e-17
237,24,18,0.7196654573091221,0.3054996978352141
238,24,19,1.0,3.7470027081099036e-17
239,24,20,0.6542948056964408,0.2758514374234463
240,26,1,0.9262034732956965,0.1469716503636352
241,26,2,0.6122920595319447,0.3374889727635801
242,26,3,0.9998443413011262,0.008085086677030551
243,26,4,0.6976855049358797,0.29356568115570597
244,26,5,1.0,4.810966440042345e-17
245,26,6,0.6910637626679483,0.27877062135449926
246,26,7,1.0,3.0068540250264654e-17
