,n_pts,seed,score_mae
158,16,19,0.013908594407156442
159,16,20,0.29315846103426485
160,18,1,0.335691914661663
161,18,2,0.2869123083265697
162,18,3,0.03238085247991319
163,18,4,0.0006993287236054746
164,18,5,4.810966440042345e-17
165,18,6,0.29034354049378397
166,18,7,0.3212703075789912
167,18,8,0.3523318760991685
168,18,9,0.3316425117239902
169,18,10,4.810966440042345e-17
170,18,11,0.0008383595123548693
171,18,12,0.3040061015540747
172,18,13,0.0917318683046831
173,18,14,0.0722894339895678
174,18,15,0.3131589374772706
175,18,16,0.3245756137524957
176,18,17,0.023299897431114356
177,18,18,0.2758514374234463
178,18,19,0.012778719028174635
179,18,20,0.2862362647619606
180,20,1,0.3863049245019675
181,20,2,0.04551950297010298
182,20,3,0.027127535675986407
183,20,4,0.3139589451250886
184,20,5,0.22601990430201993
185,20,6,0.3100006006727249
186,20,7,0.3245313712172824
187,20,8,0.0034068564889809306
188,20,9,0.3596088951053522
189,20,10,3.0068540250264654e-17
190,20,11,0.3100006006727249
191,20,12,0.25109042120232805
192,20,13,0.305129953764189
193,20,14,0.07479574303036299
194,20,15,0.3131589374772706
195,20,16,0.35691411039574394
196,20,17,0.0007158296709443086
197,20,18,0.26785994072949065
198,20,19,0.2797305667532925
199,20,20,0.3054996978352141
200,22,1,0.3456984819120161
201,22,2,0.33108677446882756
202,22,3,0.027127535675986407
203,22,4,0.0738737176264818
204,22,5,0.026358553602838987
205,22,6,0.2774354383037049
206,22,7,0.29451286722474024
207,22,8,0.3475660724172283
208,22,9,0.3316425117239902
209,22,10,3.7470027081099036e-17
210,22,11,0.3100006006727249
211,22,12,0.285056676951691
212,22,13,0.3254243807008356
213,22,14,0.09420864179572301
214,22,15,0.3131589374772706
215,22,16,0.3361687702961299
216,22,17,0.023475362077885222
217,22,18,0.3054996978352141
218,22,19,0.2955228548320847
219,22,20,0.3023786973464792
220,24,1,0.3569387140468376
221,24,2,0.03986962036289099
222,24,3,0.0007814740353455594
223,24,4,0.3054996978352141
224,24,5,3.0068540250264654e-17
225,24,6,0.2758514374234463
226,24,7,0.32625812176373425
227,24,8,0.004676016566090542
228,24,9,0.32152264337744396
229,24,10,0.2774354383037049
230,24,11,0.050179259141655067
231,24,12,0.11862676708992517
232,24,13,0.3603316332252683
233,24,14,0.09632040222926079
234,24,15,0.022727165698898055
235,24,16,0.2820573890455462
236,24,17,3.7470027081099036e-17
237,24,18,0.3054996978352141
238,24,19,3.7470027081099036e-17
239,24,20,0.2758514374234463
240,26,1,0.1413320966976529
241,26,2,0.3382282603984681
242,26,3,0.008092320056487879
243,26,4,0.29356568115570597
244,26,5,4.810966440042345e-17
245,26,6,0.27877062135449926
246,26,7,3.0068540250264654e-17
247,26,8,0.012769563288594892
248,26,9,0.3271102548028907
249,26,10,0.2775165230574573
250,26,11,0.3100006006727249
251,26,12,0.11473410802520559
252,26,13,0.31061174331928487
253,26,14,0.277672376521628
254,26,15,0.024703135966701713
255,26,16,0.022035970196830502
256,26,17,0.11238507396616491
257,26,18,0.3154393975146486
258,26,19,7.401486830834377e-18
259,26,20,0.2862362647619606
260,28,1,4.810966440042345e-17
261,28,2,0.28904151812570494
262,28,3,0.018085950800384325
263,28,4,0.10312100137023285
264,28,5,0.3057127430887895
265,28,6,0.2790444992748854
266,28,7,0.32625812176373425
267,28,8,0.08611757415219555
268,28,9,0.3271102548028907
269,28,10,3.0068540250264654e-17
270,28,11,0.33732559556700786
271,28,12,0.025487132924988384
272,28,13,0.3471139376642691
273,28,14,0.2794286226103683
274,28,15,0.7067256523821293
275,28,16,0.35691411039574394
276,28,17,0.017146995711699402
277,28,18,0.28475467011026934
278,28,19,0.30304965758486907
279,28,20,0.2862362647619606
280,30,1,0.30549692396378914
281,30,2,0.030060289331804522
282,30,3,5.2735593669694933e-17
283,30,4,3.0068540250264654e-17
284,30,5,4.810966440042345e-17
285,30,6,0.3100006006727249
286,30,7,3.0068540250264654e-17
287,30,8,0.0008758789898930336
288,30,9,0.3271102548028907
289,30,10,3.7470027081099036e-17
290,30,11,0.11101291504959271
291,30,12,0.0007742406558882471
292,30,13,0.3376069518080911
293,30,14,0.3006964591185886
294,30,15,0.11173018063073709
295,30,16,0.030060289331804522
296,30,17,0.253212436684126
297,30,18,0.27953248054726526
298,30,19,3.0068540250264654e-17
299,30,20,0.30564345397435644
