,accuracy,n_solution,score,time
160,0.06,61,0.31447343253938786,2.825437545776367
161,0.06,62,0.16989128194204456,1.1914706230163574
162,0.06,63,0.0,1.0196888446807861
163,0.06,64,0.0,0.7278122901916504
164,0.06,65,0.2513428092106789,1.4292380809783936
165,0.06,66,0.167100427365127,1.9266753196716309
166,0.06,67,0.0,0.7120976448059082
167,0.06,68,0.019779461461888363,2.1539690494537354
168,0.06,69,0.0,0.7985246181488037
169,0.06,70,0.0,1.331989049911499
170,0.06,71,0.0,0.6671671867370605
171,0.06,72,0.0,1.7600417137145996
172,0.06,73,0.0,1.9770278930664062
173,0.06,74,0.0,1.148859977722168
174,0.06,75,0.16739528261340972,0.6175808906555176
175,0.06,76,0.37141485730595136,2.254462242126465
176,0.06,77,0.0,0.5096821784973145
177,0.06,78,0.0,0.5048737525939941
178,0.06,79,0.4514819899276299,2.458439826965332
179,0.06,80,0.0,1.1889734268188477
180,0.06,81,0.18597995681659965,1.11915922164917
181,0.06,82,0.1448993251320916,0.8450028896331787
182,0.06,83,0.2766359653245969,0.9622292518615723
183,0.06,84,0.1873416798406458,0.7923946380615234
184,0.06,85,0.0,1.1005024909973145
185,0.06,86,0.0,1.3609163761138916
186,0.06,87,0.49341883491914834,0.6390268802642822
187,0.06,88,0.009055734699116823,1.294069766998291
188,0.06,89,0.3133305625838603,3.2280921936035156
189,0.06,90,0.0,0.6347763538360596
190,0.06,91,0.15711997783771378,0.6564669609069824
191,0.06,92,0.38943273528472216,2.185614824295044
192,0.06,93,0.4150746747206794,0.8656983375549316
193,0.06,94,0.179789627929795,1.00541353225708
194,0.06,95,0.0,1.5010435581207275
195,0.06,96,0.0,1.184774398803711
196,0.06,97,0.21128754435472705,0.7163128852844238
197,0.06,98,0.0,1.0335216522216797
198,0.06,99,0.0,0.49549174308776855
199,0.06,100,0.2690921711700604,2.606170177459717
200,0.07,1,0.24636567749485408,2.633322238922119
201,0.07,2,0.4607440940726795,0.9221208095550537
202,0.07,3,0.1899880610222778,0.6381406784057617
203,0.07,4,0.0,2.026106834411621
204,0.07,5,0.27446329527705915,1.2241997718811035
205,0.07,6,0.2246210790834903,0.7585890293121338
206,0.07,7,0.0,1.239323616027832
207,0.07,8,0.38767416134912575,2.3759686946868896
208,0.07,9,0.3451279335807776,3.5554211139678955
209,0.07,10,0.0,1.3488678932189941
210,0.07,11,0.0,1.051804542541504
211,0.07,12,0.0,1.6063907146453857
212,0.07,13,0.0,0.9053986072540283
213,0.07,14,0.19149591357661228,1.274427890777588
214,0.07,15,0.2150961950937237,1.0071535110473633
215,0.07,16,0.0,2.1774394512176514
216,0.07,17,0.0,0.5928235054016113
217,0.07,18,0.0,1.000159740447998
218,0.07,19,0.0,0.6631143093109131
219,0.07,20,0.28076720555077445,0.8813679218292236
220,0.07,21,0.12947058679223292,3.8716297149658203
221,0.07,22,0.0,1.438704490661621
222,0.07,23,0.3464657486915596,3.1735246181488037
223,0.07,24,0.0,1.8727080821990967
224,0.07,25,0.0,0.5273971557617188
225,0.07,26,0.0,2.7432501316070557
226,0.07,27,0.010001389313422938,1.5477921962738037
227,0.07,28,0.2154181240333246,3.567284107208252
228,0.07,29,0.0,0.8242299556732178
229,0.07,30,0.22487083903798386,0.7863674163818359
230,0.07,31,0.0,1.8337066173553467
231,0.07,32,0.0,0.5425188541412354
