,accuracy,cost_per_eval
108,0.8,3.0954418182373047
109,0.8,1.7209563255310059
110,0.8,1.6005425453186035
111,0.8,1.6800119876861572
112,0.8,1.771070957183838
113,0.8,1.9610342979431152
114,0.8,1.5995423793792725
115,0.8,2.4977774620056152
116,0.8,1.3426778316497803
117,0.8,1.544144868850708
118,0.8,1.3206446170806885
119,0.8,1.5505783557891846
120,0.8,3.2937984466552734
121,0.8,2.0654265880584717
122,0.8,2.9986279010772705
123,0.8,2.163831949234009
124,0.8,1.3369309902191162
125,0.8,2.695615768432617
126,0.8,2.2031285762786865
127,0.8,3.5133216381073
128,0.8,1.471073865890503
129,0.8,1.8304483890533447
130,0.8,2.3835225105285645
131,0.8,1.3376822471618652
132,0.8,1.4953086376190186
133,0.8,2.36340594291687
134,0.8,1.4892702102661133
135,0.8,2.333571195602417
136,0.8,1.4635982513427734
137,0.8,3.033243179321289
138,0.8,3.67256498336792
139,0.8,1.8215365409851074
140,0.8,1.472231149673462
141,0.8,2.3053107261657715
142,0.8,1.7436745166778564
143,0.8,1.6795167922973633
144,0.8,1.4607470035552979
145,0.8,1.527766227722168
146,0.8,1.4641928672790527
147,0.8,2.2322094440460205
148,0.8,1.5401623249053955
149,0.8,2.427459478378296
150,0.8,1.4344885349273682
151,0.8,1.4477784633636475
152,0.8,2.087364673614502
153,0.8,1.8367326259613037
154,0.8,1.5669982433319092
155,0.8,1.5087835788726807
156,0.8,2.136064052581787
157,0.8,1.6126480102539062
158,0.8,2.2537479400634766
159,0.8,2.2620532512664795
160,0.8,3.612739324569702
161,0.8,1.8223860263824463
162,0.8,1.8182387351989746
163,0.8,1.616736650466919
164,0.8,2.496309280395508
165,0.8,2.5868592262268066
166,0.8,1.481935977935791
167,0.8,2.539804697036743
168,0.8,1.5334179401397705
169,0.8,1.9984183311462402
170,0.8,1.5105605125427246
171,0.8,2.8614885807037354
172,0.8,2.3811755180358887
173,0.8,1.7769412994384766
174,0.8,1.482102632522583
175,0.8,3.0890722274780273
176,0.8,1.464599847793579
177,0.8,1.432645320892334
178,0.8,3.472769260406494
179,0.8,1.8558709621429443
180,0.8,2.251537799835205
181,0.8,1.6747031211853027
182,0.8,1.8902173042297363
183,0.8,1.6916484832763672
184,0.8,1.8340773582458496
185,0.8,2.1640214920043945
186,0.8,1.5645599365234375
187,0.8,2.429692268371582
188,0.8,3.7454590797424316
189,0.8,1.3847880363464355
190,0.8,1.5180513858795166
191,0.8,3.133059501647949
192,0.8,2.017016887664795
193,0.8,1.9884634017944336
194,0.8,2.3639283180236816
195,0.8,1.8225975036621094
196,0.8,1.5406136512756348
197,0.8,1.7647018432617188
198,0.8,1.3345766067504883
199,0.8,3.412479877471924
200,0.9,3.3613815307617188
201,0.9,2.2328531742095947
202,0.9,1.8111107349395752
203,0.9,2.5208516120910645
204,0.9,2.5118839740753174
205,0.9,2.124730110168457
206,0.9,2.3130743503570557
207,0.9,3.6383819580078125
208,0.9,3.916727304458618
209,0.9,1.973743200302124
210,0.9,1.8311479091644287
211,0.9,1.9947264194488525
212,0.9,2.126211404800415
213,0.9,2.1304354667663574
214,0.9,1.955472469329834
215,0.9,3.137679100036621
216,0.9,1.5441429615020752
217,0.9,1.8593175411224365
218,0.9,1.4471094608306885
219,0.9,1.7142314910888672
220,0.9,4.635989189147949
221,0.9,2.6944808959960938
222,0.9,3.9951231479644775
223,0.9,2.738967180252075
224,0.9,1.460179328918457
225,0.9,3.5819051265716553
226,0.9,2.640407085418701
227,0.9,4.817046403884888
228,0.9,1.637251853942871
229,0.9,2.231462240219116
230,0.9,3.0529723167419434
231,0.9,1.508178472518921
232,0.9,1.6820111274719238
233,0.9,3.0533337593078613
234,0.9,1.705843210220337
235,0.9,3.0384275913238525
236,0.9,1.662740707397461
237,0.9,4.097918510437012
238,0.9,5.104233026504517
239,0.9,2.223116159439087
240,0.9,1.7645807266235352
241,0.9,3.0376343727111816
242,0.9,2.140953779220581
243,0.9,1.9955358505249023
244,0.9,1.652547836303711
245,0.9,1.7664802074432373
246,0.9,1.6763560771942139
247,0.9,2.8737130165100098
248,0.9,1.7500829696655273
249,0.9,3.258251428604126
250,0.9,1.6108286380767822
251,0.9,1.65852952003479
252,0.9,2.5502493381500244
253,0.9,2.223602533340454
254,0.9,1.6109004020690918
255,0.9,1.6292016506195068
256,0.9,2.3727638721466064
257,0.9,1.599571943283081
258,0.9,2.814459800720215
259,0.9,2.9083189964294434
