,corr,train_seed,gen,n_eval,acc,score
136,0.9,2,36,1702000,1.0000000000000002,0.10448162666067645
137,0.9,2,37,1752000,1.0000000000000002,0.10448162666067645
138,0.9,2,38,1802000,1.0000000000000002,0.10448162666067645
139,0.9,2,39,1852000,1.0000000000000002,0.10448162666067645
140,0.9,2,40,1902000,1.0000000000000002,0.10448162666067645
141,0.9,2,41,1952000,1.0000000000000002,0.10448162666067645
142,0.9,2,42,2002000,1.0000000000000002,0.10448162666067645
143,0.9,2,43,2052000,1.0000000000000002,0.10448162666067645
144,0.9,2,44,2102000,1.0000000000000002,0.10448162666067645
145,0.9,2,45,2152000,1.0000000000000002,0.10448162666067645
146,0.9,2,46,2202000,1.0000000000000002,0.10448162666067645
147,0.9,2,47,2252000,1.0000000000000002,0.10448162666067645
148,0.9,2,48,2302000,1.0000000000000002,0.10448162666067645
149,0.9,2,49,2352000,1.0000000000000002,0.10448162666067645
150,0.9,3,0,15000,0.3,0.40929181202876774
151,0.9,3,1,39000,0.49999999999999994,0.33513652693944607
152,0.9,3,2,66000,0.5499999999999999,0.33513652693944607
153,0.9,3,3,93000,0.5499999999999999,0.2171788998958281
154,0.9,3,4,120000,0.5499999999999999,0.22698348242207017
155,0.9,3,5,147000,0.5499999999999999,0.19165249308505128
156,0.9,3,6,174000,0.5499999999999999,0.2728566843353747
157,0.9,3,7,201000,0.5499999999999999,0.15897909684716488
158,0.9,3,8,228000,0.5499999999999999,0.14886368616336465
159,0.9,3,9,255000,0.5499999999999999,0.1388354958078396
160,0.9,3,10,282000,0.5499999999999999,0.1388354958078396
161,0.9,3,11,309000,0.5499999999999999,0.14366958711087263
162,0.9,3,12,336000,0.5499999999999999,0.09518645529194406
163,0.9,3,13,363000,0.5499999999999999,0.08510015272367692
164,0.9,3,14,390000,0.5499999999999999,0.08512748325383601
165,0.9,3,15,417000,0.5499999999999999,0.08426131203851005
166,0.9,3,16,447000,0.6,0.0839021168038859
167,0.9,3,17,477000,0.6,0.0839021168038859
168,0.9,3,18,507000,0.6,0.0853757204750296
169,0.9,3,19,537000,0.6,0.0853757204750296
170,0.9,3,20,567000,0.6,0.0853757204750296
171,0.9,3,21,597000,0.6,0.077286096996549
172,0.9,3,22,627000,0.6,0.077286096996549
173,0.9,3,23,657000,0.6,0.077286096996549
174,0.9,3,24,687000,0.6,0.09078711717308688
175,0.9,3,25,717000,0.6,0.09078720079577016
176,0.9,3,26,747000,0.6,0.09078720079577016
177,0.9,3,27,777000,0.6,0.09078720079577016
178,0.9,3,28,807000,0.6,0.0919519815840361
179,0.9,3,29,837000,0.6,0.0919519815840361
180,0.9,3,30,867000,0.6,0.080086522543652
181,0.9,3,31,897000,0.6,0.08540258478671366
182,0.9,3,32,927000,0.6,0.08126992432515355
183,0.9,3,33,957000,0.6,0.08540258478671366
184,0.9,3,34,987000,0.6,0.08540258478671366
185,0.9,3,35,1017000,0.6,0.08540258478671366
186,0.9,3,36,1047000,0.6,0.08540253358213593
187,0.9,3,37,1077000,0.6,0.08540258478671366
188,0.9,3,38,1107000,0.6,0.08540258478671366
189,0.9,3,39,1137000,0.6,0.08540258478671366
190,0.9,3,40,1167000,0.6,0.09465454412070057
191,0.9,3,41,1197000,0.6,0.09465454412070057
192,0.9,3,42,1227000,0.6,0.09465454412070057
193,0.9,3,43,1257000,0.6,0.09465454412070057
194,0.9,3,44,1287000,0.6,0.09465454412070057
195,0.9,3,45,1317000,0.6,0.09465454412070057
196,0.9,3,46,1347000,0.6,0.09465454412070057
197,0.9,3,47,1377000,0.6,0.09460246796862636
