,accuracy,n_policy,reward,steps
82,0.8,9,-15.339765808692272,800.0
83,0.7,9,-13.526060714317463,700.0
84,0.6,9,-11.572347514511026,600.0
85,0.5,9,-9.693371306570691,500.0
86,0.4,9,-7.616595540346367,400.0
87,0.3,9,-5.813979648640202,300.0
88,0.2,9,-3.7430631209591745,200.0
89,0.1,9,-1.8225754959537066,100.0
90,1.0,10,-10.617469338198477,1000.0
91,0.9,10,-8.913709953438836,900.0
92,0.8,10,-7.108046628887607,800.0
93,0.7,10,-2.558668756657456,700.0
94,0.6,10,-0.06344388956482709,600.0
95,0.5,10,2.7919192199387046,500.0
96,0.4,10,-4.855782411194312,400.0
97,0.3,10,4.540919749614185,300.0
98,0.2,10,3.3691313794397573,200.0
99,0.1,10,2.6844335311283287,100.0
100,1.0,11,-13.434478748393653,1000.0
101,0.9,11,-12.131107460911457,900.0
102,0.8,11,-11.010993782075998,800.0
103,0.7,11,-9.750955133846418,700.0
104,0.6,11,-8.347053319967307,600.0
105,0.5,11,-7.186828327326394,500.0
106,0.4,11,-6.502672378659055,400.0
107,0.3,11,-5.178258238913903,300.0
108,0.2,11,-3.783417972177822,200.0
109,0.1,11,-1.7605242355368076,100.0
110,1.0,12,-9.413029897685131,1000.0
111,0.9,12,-8.659632051228893,900.0
112,0.8,12,-7.524550183955432,800.0
113,0.7,12,-6.723438279217939,700.0
114,0.6,12,-5.756007011561814,600.0
115,0.5,12,-4.819682036086554,500.0
116,0.4,12,-3.854477885161549,400.0
117,0.3,12,-3.0535733199277235,300.0
118,0.2,12,-1.9301739314115416,200.0
119,0.1,12,-0.981237009795367,100.0
120,1.0,13,4.091598831962899,1000.0
121,0.9,13,9.80618986674732,900.0
122,0.8,13,16.19387350038833,800.0
123,0.7,13,20.6857825032966,700.0
124,0.6,13,-8.994825033697524,600.0
125,0.5,13,-10.199539202532591,500.0
126,0.4,13,-15.484518938405547,400.0
127,0.3,13,-7.627728374079302,300.0
128,0.2,13,-3.761156831716452,200.0
129,0.1,13,1.797475064456329,100.0
130,1.0,14,-21.300936579075803,1000.0
131,0.9,14,-15.729742101958243,900.0
132,0.8,14,-15.130906485550772,800.0
133,0.7,14,-15.877566575814601,700.0
134,0.6,14,-13.105811699278032,600.0
135,0.5,14,-7.887169472168753,500.0
136,0.4,14,-8.91297810329698,400.0
137,0.3,14,-4.100304461109635,300.0
138,0.2,14,-3.9010983622955053,200.0
139,0.1,14,-1.1655022800791661,100.0
140,1.0,15,26.173040194232662,1000.0
141,0.9,15,15.319114987254713,900.0
142,0.8,15,10.63670087489491,800.0
143,0.7,15,3.0314881298868332,700.0
144,0.6,15,-1.2899495062516246,600.0
145,0.5,15,-1.9053357749708475,500.0
146,0.4,15,-1.7864704392442676,400.0
147,0.3,15,-1.8972881907047714,300.0
148,0.2,15,-2.345809599620096,200.0
149,0.1,15,0.1587566913739613,100.0
150,1.0,16,-4.676377898474257,1000.0
