,accuracy,train_seed,n_gen,n_ep,n_steps,reward
2974,0.8,49,60,1220,976000,12.67628861406616
2975,0.8,49,61,1240,992000,71.04779728506992
2976,0.8,50,0,20,16000,17.121903926766727
2977,0.8,50,1,40,32000,9.6142289481817
2978,0.8,50,2,60,48000,-40.6606168245082
2979,0.8,50,3,80,64000,-19.944711691046955
2980,0.8,50,4,100,80000,2.1369065620175465
2981,0.8,50,5,120,96000,-24.41791009412812
2982,0.8,50,6,140,112000,9.6142289481817
2983,0.8,50,7,160,128000,-10.657748455133518
2984,0.8,50,8,180,144000,9.6142289481817
2985,0.8,50,9,200,160000,15.246720686694122
2986,0.8,50,10,220,176000,30.62123904498176
2987,0.8,50,11,240,192000,20.442894460340018
2988,0.8,50,12,260,208000,10.841419311618804
2989,0.8,50,13,280,224000,14.971655413308264
2990,0.8,50,14,300,240000,17.120427063536518
2991,0.8,50,15,320,256000,-34.30022521047157
2992,0.8,50,16,340,272000,26.78329015605891
2993,0.8,50,17,360,288000,27.7032954766645
2994,0.8,50,18,380,304000,36.99728984360208
2995,0.8,50,19,400,320000,36.69671959628141
2996,0.8,50,20,420,336000,27.7032954766645
2997,0.8,50,21,440,352000,32.10842926384812
2998,0.8,50,22,460,368000,11.654145655967136
2999,0.8,50,23,480,384000,16.278908312063614
3000,0.8,50,24,500,400000,32.69857521159949
3001,0.8,50,25,520,416000,30.048428127062422
3002,0.8,50,26,540,432000,37.44141127261729
3003,0.8,50,27,560,448000,28.28026104633353
3004,0.8,50,28,580,464000,14.456146217487946
3005,0.8,50,29,600,480000,34.01933211847144
3006,0.8,50,30,620,496000,-18.824945139041297
3007,0.8,50,31,640,512000,30.36269013796028
3008,0.8,50,32,660,528000,-18.46909191382512
3009,0.8,50,33,680,544000,-19.368675903625867
3010,0.8,50,34,700,560000,29.001000622624765
3011,0.8,50,35,720,576000,9.6142289481817
3012,0.8,50,36,740,592000,30.69802393977508
3013,0.8,50,37,760,608000,-44.22853708402864
3014,0.8,50,38,780,624000,29.45736281409309
3015,0.8,50,39,800,640000,7.398186665436249
3016,0.8,50,40,820,656000,2.4674819306627773
3017,0.8,50,41,840,672000,18.711373349955085
3018,0.8,50,42,860,688000,20.297096808333794
3019,0.8,50,43,880,704000,32.58938534193344
3020,0.8,50,44,900,720000,35.46293292898979
3021,0.8,50,45,920,736000,38.424229889972025
3022,0.8,50,46,940,752000,39.32426691984858
3023,0.8,50,47,960,768000,45.26084775771418
3024,0.8,50,48,980,784000,39.73441974821692
3025,0.8,50,49,1000,800000,1.820930243821004
3026,0.8,50,50,1020,816000,58.90806039377624
3027,0.8,50,51,1040,832000,15.549713778942792
3028,0.8,50,52,1060,848000,17.0788290112068
3029,0.8,50,53,1080,864000,1.416030143227642
3030,0.8,50,54,1100,880000,-23.820872324051347
3031,0.8,50,55,1120,896000,44.6788422435105
3032,0.8,50,56,1140,912000,38.87673028746493
3033,0.8,50,57,1160,928000,19.63776011875852
3034,0.8,50,58,1180,944000,38.36994113365256
3035,0.8,50,59,1200,960000,-12.16317699642975
3036,0.8,50,60,1220,976000,12.537103321535431
3037,0.8,50,61,1240,992000,41.02141637458135
3038,0.8,51,0,20,16000,-27.90426162717109
3039,0.8,51,1,40,32000,-8.217919348297283
3040,0.8,51,2,60,48000,-21.39722815604676
3041,0.8,51,3,80,64000,5.495201968349383
3042,0.8,51,4,100,80000,-13.793858126254488
3043,0.8,51,5,120,96000,4.649207989305342
3044,0.8,51,6,140,112000,29.22180977193499
3045,0.8,51,7,160,128000,-21.58792098459029
3046,0.8,51,8,180,144000,7.551894936663873
3047,0.8,51,9,200,160000,-23.58462591452642
3048,0.8,51,10,220,176000,-14.53488766379416
3049,0.8,51,11,240,192000,4.063946084296772
3050,0.8,51,12,260,208000,31.411311963684955
3051,0.8,51,13,280,224000,30.06820292047673
