,N,seed,n_turb,turb_score,eval_score,elapsed_time
181,20,1,48,0.0,0.49995093596612383,177.83543014526367
182,20,1,49,0.0,0.49995093596612383,181.07771158218384
183,20,1,50,0.02010732721711586,0.49995093596612383,187.360924243927
184,20,1,51,0.13247990954285963,0.49995093596612383,196.55498886108398
185,20,1,52,0.0,0.49995093596612383,201.05494832992554
186,20,1,53,0.0,0.49995093596612383,203.23665714263916
187,20,1,54,0.45105759199533746,0.49995093596612383,207.51999425888062
188,20,1,55,0.0,0.49995093596612383,210.3914442062378
189,20,1,56,0.22213601371642835,0.49995093596612383,215.8865625858307
190,20,1,57,0.0,0.49995093596612383,217.90970182418823
191,20,1,58,0.24590033313364093,0.49995093596612383,222.3131091594696
192,20,1,59,0.4479376600307309,0.49995093596612383,228.2467486858368
193,20,1,60,0.0,0.49995093596612383,229.99954843521118
194,20,1,61,0.312901055611321,0.49995093596612383,237.4151268005371
195,20,1,62,0.0,0.49995093596612383,239.37322568893433
196,20,1,63,0.2937024283899664,0.49995093596612383,241.9113166332245
197,20,1,64,0.0,0.49995093596612383,243.42758226394653
198,20,1,65,0.49302770561708575,0.49995093596612383,245.91566562652588
199,20,1,66,0.35108974525357783,0.49995093596612383,251.44760727882385
200,20,1,67,0.0,0.49995093596612383,255.40064644813538
201,20,1,68,0.2168717172016124,0.49995093596612383,259.26555490493774
202,20,1,69,0.0,0.49995093596612383,261.5078332424164
203,20,1,70,0.013674313448800463,0.49995093596612383,263.442706823349
204,20,1,71,0.0,0.49995093596612383,267.1803557872772
205,20,1,72,0.0,0.49995093596612383,269.0083923339844
206,20,1,73,0.0,0.49995093596612383,272.9734580516815
207,20,1,74,0.0,0.49995093596612383,276.0943682193756
208,20,1,75,0.16049177245950155,0.49995093596612383,286.1503875255585
209,20,1,76,0.41080788776552657,0.49995093596612383,289.27768564224243
210,20,1,77,0.3957746571670296,0.49995093596612383,291.6430883407593
211,20,1,78,0.3669525544170723,0.49995093596612383,293.88271498680115
212,20,1,79,0.44410098329927095,0.49995093596612383,296.4602777957916
213,20,1,80,0.24000019912635404,0.49995093596612383,298.72983503341675
214,20,1,81,0.0,0.49995093596612383,303.71927881240845
215,20,1,82,0.2263802092572085,0.49995093596612383,306.13953590393066
216,20,1,83,0.30994280521373896,0.49995093596612383,315.3835847377777
217,20,1,84,0.0,0.49995093596612383,317.3544557094574
218,20,1,85,0.35456292167002856,0.49995093596612383,321.7822415828705
219,20,1,86,0.018062641810356002,0.49995093596612383,328.27318692207336
220,20,1,87,0.46853871217966564,0.49995093596612383,333.2100965976715
221,20,1,88,0.4279723409753897,0.49995093596612383,338.2828485965729
222,20,1,89,0.0,0.49995093596612383,340.7407877445221
223,20,1,90,0.0,0.49995093596612383,343.17076206207275
224,20,1,91,0.4519754044107684,0.49995093596612383,345.4732241630554
225,20,1,92,0.431550504062762,0.49995093596612383,350.7627785205841
226,20,1,93,0.4798157381790731,0.49995093596612383,356.0690507888794
227,20,1,94,0.1924339442389124,0.49995093596612383,359.4909780025482
228,20,1,95,0.3862840256228335,0.49995093596612383,368.51839113235474
229,20,1,96,0.20045716245938489,0.49995093596612383,370.49210023880005
230,20,1,97,0.39342455788449765,0.49995093596612383,378.3783700466156
231,20,1,98,0.1712945864528228,0.49995093596612383,385.8855812549591
232,20,1,99,0.3805058012997292,0.49995093596612383,387.72968578338623
233,20,1,100,0.26156883762535676,0.49995093596612383,396.7243654727936
234,20,1,101,0.4840724959811728,0.49995093596612383,402.71416997909546
235,20,1,102,0.1635848045067162,0.49995093596612383,404.58542680740356
236,20,1,103,0.3951554289293211,0.49995093596612383,409.35664987564087
237,20,1,104,0.010566475960246097,0.49995093596612383,412.3114836215973
238,20,1,105,0.3368129422366132,0.49995093596612383,414.8961133956909
239,20,1,106,0.4186060366029394,0.49995093596612383,419.7677798271179
240,20,1,107,0.0,0.49995093596612383,423.02917647361755
241,20,1,108,0.3717812094170419,0.49995093596612383,428.1160533428192
242,20,1,109,0.18355778832871938,0.49995093596612383,432.8596992492676
243,20,1,110,0.0,0.49995093596612383,435.49059200286865
244,20,1,111,0.014011401433490516,0.49995093596612383,437.66913175582886
245,20,1,112,0.4232752142364973,0.49995093596612383,439.47768688201904
246,20,1,113,0.0,0.49995093596612383,441.3665089607239
247,20,1,114,0.2703022116475549,0.49995093596612383,443.24058985710144
248,20,1,115,0.1567915353622922,0.49995093596612383,448.4900839328766
249,20,1,116,0.0,0.49995093596612383,451.7978482246399
250,20,1,117,0.18490009907904942,0.49995093596612383,456.0373945236206
251,20,1,118,0.0,0.49995093596612383,459.7584433555603
252,20,1,119,0.36319732214983264,0.49995093596612383,461.95438718795776
253,20,1,120,0.0,0.49995093596612383,465.89971113204956
254,20,1,121,0.0,0.49995093596612383,472.37331223487854
255,20,1,122,0.203669505314335,0.49995093596612383,475.560476064682
256,20,1,123,0.0,0.49995093596612383,481.55552339553833
257,20,1,124,0.0,0.49995093596612383,484.9122676849365
258,20,1,125,0.3041941761956264,0.49995093596612383,487.23930644989014
259,20,1,126,0.31417257660055237,0.49995093596612383,494.0914192199707
260,20,1,127,0.41497004235047535,0.49995093596612383,495.85388255119324
261,20,1,128,0.471971805531077,0.49995093596612383,500.01567912101746
262,20,1,129,0.0,0.49995093596612383,502.8767623901367
263,20,1,130,0.4133275658120378,0.49995093596612383,507.2795522212982
264,20,1,131,0.0,0.49995093596612383,510.0525653362274
265,20,1,132,0.0,0.49995093596612383,512.192342042923
266,20,1,133,0.19909142836260543,0.49995093596612383,514.428394317627
267,20,1,134,0.43431750111655976,0.49995093596612383,516.7994313240051
268,20,1,135,0.0,0.49995093596612383,518.5533683300018
269,20,1,136,0.0,0.49995093596612383,520.3736243247986
270,20,1,137,0.0,0.49995093596612383,522.9878363609314
271,20,1,138,0.3468676093511446,0.49995093596612383,524.9726996421814
272,20,1,139,0.0,0.49995093596612383,529.6125409603119
273,20,1,140,0.3592488911011791,0.49995093596612383,532.9072828292847
274,20,1,141,0.27436387453686367,0.49995093596612383,534.7319240570068
275,20,1,142,0.0,0.49995093596612383,539.2163729667664
276,20,1,143,0.0,0.49995093596612383,542.3968341350555
277,20,2,1,0.0,0.0,5.776372194290161
278,20,2,2,0.0,0.0,7.6389031410217285
279,20,2,3,0.31244852992712246,0.3111091798676935,20.18132448196411
