,steps,info_steps,seed,n_eval,max_step_per_eval,time,info_time,mean_reward
47,4000,4000.0,3,2000,2.0,7.845288038253784,18689.098472999965,47.39
48,4500,4500.0,3,2250,2.0,8.814841508865356,24454.95589799998,44.61
49,5000,5000.0,3,2500,2.0,9.72389030456543,31237.90364399997,49.4
50,5500,5500.0,3,2750,2.0,10.632917404174805,39114.38062599996,65.07
51,6000,6000.0,3,3000,2.0,11.583555698394775,48370.00992899999,28.09
52,6500,6500.0,3,3250,2.0,12.487424850463867,58346.789480000014,41.29
53,7000,7000.0,3,3500,2.0,13.49991226196289,69329.76755900007,67.84
54,7500,7500.0,3,3750,2.0,14.500920295715332,81764.68315,49.47
55,8000,8000.0,3,4000,2.0,15.475460052490234,95319.50127500005,67.68
56,8500,8500.0,3,4250,2.0,16.405160427093506,110301.65211700003,236.3
57,9000,9000.0,3,4500,2.0,17.393526792526245,129699.56713900008,43.21
58,9500,9500.0,3,4750,2.0,18.341957807540894,150103.67063700003,12.59
59,10000,10000.0,3,5000,2.0,19.317591428756714,170973.9800689999,9.45
60,500,500.0,4,250,2.0,0.8910491466522217,110.98500799999995,9.45
61,1000,1000.0,4,500,2.0,1.9311175346374512,641.9821999999997,9.45
62,1500,1500.0,4,750,2.0,2.8542861938476562,1586.5478209999997,9.3
63,2000,2000.0,4,1000,2.0,3.7605364322662354,2922.672945000001,9.45
64,2500,2500.0,4,1250,2.0,4.7201087474823,4664.8190429999995,9.45
65,3000,3000.0,4,1500,2.0,5.631815433502197,6814.553466000005,9.45
66,3500,3500.0,4,1750,2.0,6.528299808502197,9357.221257999996,9.45
67,4000,4000.0,4,2000,2.0,7.485245704650879,12304.705159999994,9.49
68,4500,4500.0,4,2250,2.0,8.406326293945312,15655.796454999985,9.45
69,5000,5000.0,4,2500,2.0,9.357170581817627,19410.791060999985,9.45
70,5500,5500.0,4,2750,2.0,10.39197301864624,23617.849873,9.45
71,6000,6000.0,4,3000,2.0,11.453882455825806,28257.349356999977,9.45
72,6500,6500.0,4,3250,2.0,12.49036717414856,33331.28640199999,9.45
73,7000,7000.0,4,3500,2.0,13.413514375686646,38816.846528999944,9.45
74,7500,7500.0,4,3750,2.0,14.327512741088867,44700.50107099996,9.45
75,8000,8000.0,4,4000,2.0,15.288604736328125,50988.105218999954,9.45
76,8500,8500.0,4,4250,2.0,16.240757942199707,57689.0733659999,9.45
77,9000,9000.0,4,4500,2.0,17.16700839996338,64792.62631499982,9.45
78,9500,9500.0,4,4750,2.0,18.17818570137024,72304.55094799977,9.45
79,10000,10000.0,4,5000,2.0,19.22011637687683,80253.93749399972,9.45
80,500,500.0,5,250,2.0,0.8986978530883789,115.93691800000003,50.53
81,1000,1000.0,5,500,2.0,1.8058445453643799,1343.159555,56.95
82,1500,1500.0,5,750,2.0,2.81760835647583,3891.4695260000008,9.3
83,2000,2000.0,5,1000,2.0,3.8656442165374756,6875.577633,9.45
84,2500,2500.0,5,1250,2.0,4.911365747451782,10316.592234999993,9.3
85,3000,3000.0,5,1500,2.0,5.96440577507019,14201.16060999999,9.77
86,3500,3500.0,5,1750,2.0,7.010525465011597,18556.08579100001,9.3
87,4000,4000.0,5,2000,2.0,7.97652006149292,23326.842402000006,9.3
88,4500,4500.0,5,2250,2.0,8.958261728286743,28504.818465000004,9.3
89,5000,5000.0,5,2500,2.0,10.023684024810791,34105.192928000004,9.3
90,5500,5500.0,5,2750,2.0,11.047587394714355,40141.56118599998,28.03
91,6000,6000.0,5,3000,2.0,11.974590063095093,46916.86299499998,9.3
92,6500,6500.0,5,3250,2.0,12.95234227180481,54102.51936999998,19.78
93,7000,7000.0,5,3500,2.0,13.913357973098755,61879.03137499995,55.16
94,7500,7500.0,5,3750,2.0,14.89775538444519,70871.67529499988,56.36
95,8000,8000.0,5,4000,2.0,15.933885097503662,81109.86944000001,66.04
96,8500,8500.0,5,4250,2.0,16.939937353134155,92768.16994300013,182.15
97,9000,9000.0,5,4500,2.0,17.915123462677002,107907.23984500006,38.03
98,9500,9500.0,5,4750,2.0,18.97588014602661,123983.37210300007,12.79
99,10000,10000.0,5,5000,2.0,19.98601007461548,140550.11516100014,9.3
100,500,500.0,6,250,2.0,1.076831579208374,135.38714299999998,9.33
101,1000,1000.0,6,500,2.0,2.16845703125,729.9765419999997,9.3
102,1500,1500.0,6,750,2.0,3.2293407917022705,1768.8378220000013,9.3
103,2000,2000.0,6,1000,2.0,4.390137672424316,3246.305518000003,9.3
104,2500,2500.0,6,1250,2.0,5.346301555633545,5192.209302000003,9.3
105,3000,3000.0,6,1500,2.0,6.342199087142944,7548.447583000002,9.3
106,3500,3500.0,6,1750,2.0,7.3940675258636475,10331.569474999995,9.3
107,4000,4000.0,6,2000,2.0,8.34555983543396,13534.199559999985,9.38
108,4500,4500.0,6,2250,2.0,9.398314714431763,17176.562032999973,9.3
109,5000,5000.0,6,2500,2.0,10.42021632194519,21248.646961999973,9.3
110,5500,5500.0,6,2750,2.0,11.413162469863892,25738.61119399998,9.3
111,6000,6000.0,6,3000,2.0,12.394175291061401,30636.2755,9.3
112,6500,6500.0,6,3250,2.0,13.409324884414673,35954.27063100001,9.3
113,7000,7000.0,6,3500,2.0,14.367570161819458,41681.96597300003,9.3
114,7500,7500.0,6,3750,2.0,15.329071044921875,47814.58626199999,9.3
115,8000,8000.0,6,4000,2.0,16.330130577087402,54355.32426099997,9.3
116,8500,8500.0,6,4250,2.0,17.329551696777344,61343.21668899994,9.3
117,9000,9000.0,6,4500,2.0,18.297998189926147,68742.2643909999,9.3
118,9500,9500.0,6,4750,2.0,19.28126096725464,76552.53370199978,9.3
119,10000,10000.0,6,5000,2.0,20.24336886405945,84772.56921399974,9.3
120,500,500.0,7,250,2.0,0.9127326011657715,115.50991400000004,53.94
121,1000,1000.0,7,500,2.0,1.9389967918395996,1424.0857780000003,9.45
122,1500,1500.0,7,750,2.0,2.909245252609253,3154.3518780000004,9.45
123,2000,2000.0,7,1000,2.0,3.9322052001953125,5306.635011999998,9.45
124,2500,2500.0,7,1250,2.0,4.9397499561309814,7876.049370999995,9.45
125,3000,3000.0,7,1500,2.0,5.950460195541382,10879.550941000003,9.45
126,3500,3500.0,7,1750,2.0,7.000279664993286,14311.826048999996,58.05
127,4000,4000.0,7,2000,2.0,7.953877925872803,19020.556629000006,9.45
128,4500,4500.0,7,2250,2.0,8.898088455200195,24135.944564,9.45
129,5000,5000.0,7,2500,2.0,9.953047513961792,29673.075712999995,9.45
130,5500,5500.0,7,2750,2.0,10.92641282081604,35633.188471999994,9.45
131,6000,6000.0,7,3000,2.0,11.976797580718994,42021.92035399996,9.45
132,6500,6500.0,7,3250,2.0,13.000727653503418,48837.97117999995,9.45
133,7000,7000.0,7,3500,2.0,14.027819395065308,56086.951852999926,9.45
134,7500,7500.0,7,3750,2.0,15.056890964508057,63754.94400999995,9.45
135,8000,8000.0,7,4000,2.0,16.02111053466797,71843.60260599988,9.45
136,8500,8500.0,7,4250,2.0,16.988933324813843,80342.66468599996,9.45
137,9000,9000.0,7,4500,2.0,17.966384172439575,89253.11048199997,9.45
138,9500,9500.0,7,4750,2.0,18.965734481811523,98578.87742600011,9.45
139,10000,10000.0,7,5000,2.0,19.942857027053833,108346.20986500003,9.45
140,500,500.0,8,250,2.0,0.9149372577667236,115.140813,9.39
141,1000,1000.0,8,500,2.0,1.8713023662567139,637.0471199999997,9.3
142,1500,1500.0,8,750,2.0,2.8653006553649902,1564.1055049999989,9.3
143,2000,2000.0,8,1000,2.0,3.875581741333008,2921.2936629999995,9.3
144,2500,2500.0,8,1250,2.0,4.921701669692993,4706.391641999998,26.59
145,3000,3000.0,8,1500,2.0,5.899617433547974,7214.704357999997,52.41
146,3500,3500.0,8,1750,2.0,6.858480930328369,10889.27149299999,35.04
147,4000,4000.0,8,2000,2.0,7.818126678466797,15422.423268999995,102.06
148,4500,4500.0,8,2250,2.0,8.780494451522827,22021.206891000013,149.64
149,5000,5000.0,8,2500,2.0,9.75850534439087,31478.36833700002,76.34
150,5500,5500.0,8,2750,2.0,10.724056005477905,42509.779858000074,89.22
151,6000,6000.0,8,3000,2.0,11.690951824188232,55387.813963000095,107.88
152,6500,6500.0,8,3250,2.0,12.732136249542236,70418.32827100006,115.29
153,7000,7000.0,8,3500,2.0,13.798969984054565,87729.50676300008,85.48
154,7500,7500.0,8,3750,2.0,14.773614168167114,106789.6911130001,125.44
155,8000,8000.0,8,4000,2.0,15.740442276000977,128282.40581600001,232.83
156,8500,8500.0,8,4250,2.0,16.708234310150146,154111.87048900014,280.05
157,9000,9000.0,8,4500,2.0,17.6764714717865,185066.13663800014,288.31
158,9500,9500.0,8,4750,2.0,18.64581823348999,221312.720703,250.22
159,10000,10000.0,8,5000,2.0,19.698692083358765,262175.5594410001,203.88
160,500,500.0,9,250,2.0,0.9135961532592773,115.29779600000005,9.32
161,1000,1000.0,9,500,2.0,1.9157137870788574,647.371176,49.32
162,1500,1500.0,9,750,2.0,2.9027466773986816,2295.771324000001,9.3
