,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
6265,"[5, 3]",39,,287.56960083003213,False,0.60625,18,3.552713678800501e-17,6.758905410766602,0.3279399871826172,480000,28952,508952
6266,"[5, 3]",39,,3.110696980858496,True,0.15625,19,3.552713678800501e-17,7.128581523895264,0.3694472312927246,487000,36883,523883
6267,"[5, 3]",39,,5.950755955391349,False,0.15625,20,3.552713678800501e-17,7.465242147445679,0.3364171981811523,494000,36883,530883
6268,"[5, 3]",39,,0.4251530716198359,False,0.15625,21,3.552713678800501e-17,7.793341159820557,0.3278656005859375,501000,36883,537883
6269,"[5, 3]",39,,0.3979286764591281,False,0.15625,22,3.552713678800501e-17,8.11568832397461,0.3221139907836914,508000,36883,544883
6270,"[5, 3]",39,,0.4160353094142967,False,0.15625,23,3.552713678800501e-17,8.451120138168335,0.3351922035217285,515000,36883,551883
6271,"[5, 3]",39,,0.3574949833073875,False,0.15625,24,3.552713678800501e-17,8.78130030632019,0.3299386501312256,522000,36883,558883
6272,"[5, 3]",39,,1.3132516544790436,False,0.15625,25,3.552713678800501e-17,9.110733032226562,0.3291826248168945,529000,36883,565883
6273,"[5, 3]",39,,0.4520297085121121,False,0.15625,26,3.552713678800501e-17,9.438217163085938,0.3272461891174316,536000,36883,572883
6274,"[5, 3]",39,,3.648686743549941,False,0.15625,27,3.552713678800501e-17,9.76411747932434,0.3256576061248779,543000,36883,579883
6275,"[5, 3]",39,,65.42645243666954,True,0.60625,28,3.552713678800501e-17,10.138217687606812,0.3738460540771484,573000,48279,621279
6276,"[5, 3]",39,,0.6400682706216414,True,0.49375,29,3.552713678800501e-17,10.515437364578249,0.3769686222076416,597000,57057,654057
6277,"[5, 3]",39,,0.4476567808444842,False,0.49375,30,3.552713678800501e-17,10.843694925308228,0.3280136585235595,621000,57057,678057
6278,"[5, 3]",39,,0.7375560288456535,False,0.49375,31,3.552713678800501e-17,11.174216032028198,0.3302719593048095,645000,57057,702057
6279,"[5, 3]",39,,0.5854510038073811,False,0.49375,32,3.552713678800501e-17,11.55145001411438,0.376983642578125,669000,57057,726057
6280,"[5, 3]",39,,1.2226410097193192,False,0.49375,33,3.552713678800501e-17,11.878362655639648,0.3266615867614746,693000,57057,750057
