,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
940,0.8,10,,,False,0.49375,24,0.3836749019597285,8.542561531066895,0.317624568939209,294000,33418,327418
941,0.8,10,,,False,0.49375,25,0.3803147729489062,8.840458869934082,0.2976434230804443,318000,33418,351418
942,0.8,10,,,True,0.49375,26,0.30048667241332,9.15347170829773,0.3127279281616211,342000,42196,384196
943,0.8,10,,,False,0.49375,27,0.2920409275132436,9.479856252670288,0.3261227607727051,366000,42196,408196
944,0.8,10,,,False,0.49375,28,0.3070480712947078,9.830784559249878,0.3506507873535156,390000,42196,432196
945,0.8,10,,,False,0.49375,29,0.3032116560738044,10.184779644012451,0.3537352085113525,414000,42196,456196
946,0.8,10,,,True,0.49375,30,0.3227446812511197,10.606249570846558,0.4212069511413574,438000,50974,488974
947,0.8,10,,,False,0.49375,31,0.3299535616122578,10.938936710357666,0.3324301242828369,462000,50974,512974
948,0.8,10,,,False,0.49375,32,0.3301851555876883,11.274004220962524,0.3347501754760742,486000,50974,536974
949,0.8,10,,,False,0.49375,33,0.3124847810197099,11.618716478347778,0.3444452285766601,510000,50974,560974
950,0.8,10,,,True,0.26875,34,0.323246764980776,12.033857107162476,0.4148867130279541,523000,58905,581905
951,0.8,10,,,False,0.26875,35,0.5088679286775506,12.381128311157228,0.3470113277435303,536000,58905,594905
952,0.8,10,,,False,0.26875,36,0.5074046453322183,12.717223644256592,0.3358340263366699,549000,58905,607905
953,0.8,10,,,False,0.26875,37,0.3881047938381872,13.051698684692385,0.334202766418457,562000,58905,620905
954,0.8,10,,,False,0.26875,38,0.4099181842201487,13.395690441131592,0.3436994552612304,575000,58905,633905
955,0.8,10,,,True,0.49375,39,0.2704935432639872,13.804431438446043,0.4084632396697998,599000,67683,666683
956,0.8,10,,,False,0.49375,40,0.2704935432639872,14.160205602645874,0.3555288314819336,623000,67683,690683
957,0.8,10,,,False,0.49375,41,0.2562521590203541,14.520591735839844,0.3601198196411133,647000,67683,714683
958,0.8,10,,,False,0.49375,42,0.1176325657508618,14.88015103340149,0.3592879772186279,671000,67683,738683
959,0.8,10,,,True,0.15625,43,0.1176325657508618,15.320923328399658,0.4404788017272949,678000,75614,753614
960,0.8,10,,,False,0.15625,44,0.1176325657508618,15.68590235710144,0.3646919727325439,685000,75614,760614
961,0.8,10,,,False,0.15625,45,0.1176325657508618,16.05285143852234,0.3666632175445556,692000,75614,767614
