,heuristic_param,seed,n_gen,score,accuracy,variance,update,elapsed_time_proc,elapsed_time_acc,elapsed_time
4354,"[10, 3]",48,0,35933788.68352679,0.0889552977577175,5583000925361.082,True,1.303666591644287,1.0729701519012451,2.376636743545532
4355,"[10, 3]",48,1,35933788.68352679,0.0889552977577175,5295236153661.548,False,2.6286849975585938,1.0729701519012451,3.701655149459839
4356,"[10, 3]",48,2,35933788.68352679,0.0889552977577175,4648718879594.99,False,3.806196928024292,1.0729701519012451,4.879167079925537
4357,"[10, 3]",48,3,35933788.68352679,0.0889552977577175,5175955595658.253,False,4.9806318283081055,1.0729701519012451,6.053601980209351
4358,"[10, 3]",48,4,35933788.68352679,0.0889552977577175,4580784254197.621,False,6.266988277435303,1.0729701519012451,7.339958429336548
4359,"[10, 3]",48,5,35933788.68352679,0.0889552977577175,3844485912664.444,False,7.437030076980591,1.0729701519012451,8.510000228881836
4360,"[10, 3]",48,6,35933788.68352679,0.0889552977577175,4424758902922.685,False,8.609879493713379,1.0729701519012451,9.682849645614624
4361,"[10, 3]",48,7,35933788.68352679,0.0889552977577175,3957178017869.213,False,9.935276985168455,1.0729701519012451,11.008247137069702
4362,"[10, 3]",48,8,36126772.95666134,0.0889552977577175,4073040513492.061,False,11.015775442123411,1.0729701519012451,12.088745594024658
4363,"[10, 3]",48,9,36126772.95666134,0.0889552977577175,5141120332962.985,False,12.321948289871216,1.0729701519012451,13.39491844177246
4364,"[10, 3]",48,10,36126772.95666134,0.0889552977577175,6331213744593.63,False,13.55857539176941,1.0729701519012451,14.631545543670654
4365,"[10, 3]",48,11,36126772.95666134,0.0889552977577175,5871117334409.81,False,14.850484609603882,1.0729701519012451,15.923454761505129
4366,"[10, 3]",48,12,36126772.95666134,0.0889552977577175,5890926424300.16,False,16.043179035186768,1.0729701519012451,17.116149187088013
4367,"[10, 3]",48,13,36126772.95666134,0.0889552977577175,6357388047618.64,False,17.350402116775513,1.0729701519012451,18.42337226867676
4368,"[10, 3]",48,14,36126772.95666134,0.0889552977577175,4363573811294.9614,False,18.621938228607178,1.0729701519012451,19.694908380508423
4369,"[10, 3]",48,15,36126772.95666134,0.0889552977577175,6311846451992.876,False,19.820565462112427,1.0729701519012451,20.893535614013672
4370,"[10, 3]",48,16,36126772.95666134,0.0889552977577175,5083307482806.598,False,21.02247357368469,1.0729701519012451,22.095443725585938
4371,"[10, 3]",48,17,36126772.95666134,0.0889552977577175,3946191978160.4,False,22.31204390525818,1.0729701519012451,23.385014057159424
4372,"[10, 3]",48,18,36126772.95666134,0.0889552977577175,3360837308019.192,False,23.38922643661499,1.0729701519012451,24.462196588516235
4373,"[10, 3]",48,19,36126772.95666134,0.0889552977577175,5089171295985.704,True,24.612138032913208,2.1732094287872314,26.78534746170044
4374,"[10, 3]",48,20,36126772.95666134,0.0889552977577175,5861223134488.335,False,25.822718620300293,2.1732094287872314,27.995928049087524
4375,"[10, 3]",48,21,36126772.95666134,0.0889552977577175,5526447093000.606,False,27.128208875656128,2.1732094287872314,29.30141830444336
4376,"[10, 3]",48,22,36126772.95666134,0.0889552977577175,4240988589090.592,False,28.421387434005737,2.1732094287872314,30.59459686279297
4377,"[10, 3]",48,23,36126772.95666134,0.0889552977577175,3896985683130.431,False,29.591925621032715,2.1732094287872314,31.765135049819943
4378,"[10, 3]",48,24,36126772.95666134,0.0889552977577175,3658302781307.2544,False,30.85145783424377,2.1732094287872314,33.024667263031006
4379,"[10, 3]",48,25,36126772.95666134,0.0889552977577175,5290056452485.731,False,31.994644165039062,2.1732094287872314,34.167853593826294
4380,"[10, 3]",48,26,36126772.95666134,0.0889552977577175,9345705474531.83,False,33.28068280220032,2.1732094287872314,35.45389223098755
4381,"[10, 3]",48,27,36126772.95666134,0.0889552977577175,5143640539345.131,False,34.60260367393494,2.1732094287872314,36.77581310272217
4382,"[10, 3]",48,28,36126772.95666134,0.0889552977577175,5991834730112.994,False,35.64158844947815,2.1732094287872314,37.81479787826538
4383,"[10, 3]",48,29,36126772.95666134,0.0889552977577175,3717845843090.213,False,36.79375696182251,2.1732094287872314,38.96696639060974
4384,"[10, 3]",48,30,36126772.95666134,0.0889552977577175,6810737796323.77,False,37.98113131523132,2.1732094287872314,40.15434074401856
4385,"[10, 3]",49,0,35021876.26874836,0.0889552977577175,4566430847034.186,True,1.2005603313446045,1.2916827201843262,2.4922430515289307
4386,"[10, 3]",49,1,37040728.25386819,0.0889552977577175,5342018968371.435,False,2.397645235061645,1.2916827201843262,3.689327955245972
4387,"[10, 3]",49,2,37040728.25386819,0.0889552977577175,4131451821386.936,False,3.642939567565918,1.2916827201843262,4.934622287750244
4388,"[10, 3]",49,3,37040728.25386819,0.0889552977577175,4383903220736.858,False,4.817180633544922,1.2916827201843262,6.108863353729248
4389,"[10, 3]",49,4,37040728.25386819,0.0889552977577175,4063959220002.6,False,6.06712532043457,1.2916827201843262,7.358808040618896
4390,"[10, 3]",49,5,37040728.25386819,0.0889552977577175,5134710339199.912,False,7.216227293014526,1.2916827201843262,8.507910013198853
4391,"[10, 3]",49,6,37040728.25386819,0.0889552977577175,6016236042458.254,False,8.417660236358643,1.2916827201843262,9.709342956542969
4392,"[10, 3]",49,7,37040728.25386819,0.0889552977577175,5899940027927.173,False,9.68098759651184,1.2916827201843262,10.972670316696169
4393,"[10, 3]",49,8,37040728.25386819,0.0889552977577175,4383986823739.1855,False,10.864696979522703,1.2916827201843262,12.156379699707031
4394,"[10, 3]",49,9,37040728.25386819,0.0889552977577175,4052174172449.6455,False,12.176323413848875,1.2916827201843262,13.468006134033203
4395,"[10, 3]",49,10,37040728.25386819,0.0889552977577175,3901761726961.6494,False,13.383273124694824,1.2916827201843262,14.67495584487915
4396,"[10, 3]",49,11,37040728.25386819,0.0889552977577175,4302020820676.9536,False,14.691503047943115,1.2916827201843262,15.98318576812744
4397,"[10, 3]",49,12,37040728.25386819,0.0889552977577175,3786401879609.083,False,15.811293363571169,1.2916827201843262,17.102976083755493
4398,"[10, 3]",49,13,37040728.25386819,0.0889552977577175,3978171985919.2114,False,17.10255718231201,1.2916827201843262,18.394239902496334
4399,"[10, 3]",49,14,37040728.25386819,0.0889552977577175,3869196544430.7495,False,18.382816553115845,1.2916827201843262,19.67449927330017
4400,"[10, 3]",49,15,37040728.25386819,0.0889552977577175,3093886224149.029,False,19.525457620620728,1.2916827201843262,20.817140340805054
4401,"[10, 3]",49,16,37040728.25386819,0.0889552977577175,3016369269191.417,False,20.769232273101807,1.2916827201843262,22.060914993286133
4402,"[10, 3]",49,17,37040728.25386819,0.0889552977577175,5038932558697.909,False,22.06942653656006,1.2916827201843262,23.361109256744385
4403,"[10, 3]",49,18,37040728.25386819,0.0889552977577175,3078554070754.4736,False,23.220826148986816,1.2916827201843262,24.512508869171143
4404,"[10, 3]",49,19,37040728.25386819,0.0889552977577175,6440125550308.925,False,24.398778438568115,1.2916827201843262,25.69046115875244
4405,"[10, 3]",49,20,37040728.25386819,0.0889552977577175,3511546242256.337,True,25.61309552192688,2.628601312637329,28.24169683456421
4406,"[10, 3]",49,21,37040728.25386819,0.0889552977577175,4838098439159.852,False,26.819790601730347,2.628601312637329,29.44839191436768
4407,"[10, 3]",49,22,37040728.25386819,0.0889552977577175,2914320606717.638,False,27.989187955856323,2.628601312637329,30.61778926849365
4408,"[10, 3]",49,23,37040728.25386819,0.0889552977577175,5421192168266.923,False,29.16597414016724,2.628601312637329,31.794575452804565
4409,"[10, 3]",49,24,37040728.25386819,0.0889552977577175,4331588463426.529,False,30.369520664215088,2.628601312637329,32.99812197685242
4410,"[10, 3]",49,25,37040728.25386819,0.0889552977577175,5572374819095.473,False,31.58641982078552,2.628601312637329,34.21502113342285
4411,"[10, 3]",49,26,37040728.25386819,0.0889552977577175,4534550172469.813,False,32.7712881565094,2.628601312637329,35.39988946914673
4412,"[10, 3]",49,27,37040728.25386819,0.0889552977577175,4890844530961.193,False,34.02228379249573,2.628601312637329,36.65088510513306
4413,"[10, 3]",49,28,37040728.25386819,0.0889552977577175,4428385443631.353,False,35.190266609191895,2.628601312637329,37.81886792182922
4414,"[10, 3]",49,29,37040728.25386819,0.0889552977577175,4800225873364.157,False,36.37020444869995,2.628601312637329,38.99880576133728
4415,"[10, 3]",49,30,37040728.25386819,0.0889552977577175,4538843262169.685,False,37.60372924804688,2.628601312637329,40.23233056068421
4416,"[10, 3]",50,0,34732145.20515081,0.0889552977577175,5601514608132.132,True,1.222482204437256,0.9686625003814696,2.1911447048187256
