,heuristic_param,seed,n_gen,score,accuracy,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
785,5,30,2,35694177.81802447,0.0889552977577175,5650175729254.06,3.700581789016724,1.1296346187591553,4.830216407775879
786,5,30,3,36982761.53249502,0.0889552977577175,4938747721324.239,5.098933458328247,1.1296346187591553,6.228568077087402
787,5,30,4,36982761.53249502,0.0889552977577175,5049873093959.082,6.175932168960571,1.1296346187591553,7.305566787719727
788,5,30,5,36982761.53249502,0.0889552977577175,4378814433378.585,7.386698961257935,2.3657777309417725,9.752476692199709
789,5,30,6,36982761.53249502,0.0889552977577175,5410124681710.361,8.717889070510864,2.3657777309417725,11.083666801452637
790,5,30,7,36982761.53249502,0.0889552977577175,5865355289164.713,9.85629940032959,2.3657777309417725,12.222077131271362
791,5,30,8,36982761.53249502,0.0889552977577175,3706326900449.041,11.148314952850342,2.3657777309417725,13.514092683792114
792,5,30,9,36982761.53249502,0.0889552977577175,5264208595076.81,12.378929376602173,2.3657777309417725,14.744707107543944
793,5,30,10,36982761.53249502,0.0889552977577175,5791761803681.183,13.550801038742064,2.3657777309417725,15.916578769683838
794,5,30,11,36982761.53249502,0.0889552977577175,4960312686463.419,14.838838815689089,3.4856114387512207,18.324450254440308
795,5,30,12,36982761.53249502,0.0889552977577175,3867839959482.6167,16.15287208557129,3.4856114387512207,19.63848352432251
796,5,30,13,36982761.53249502,0.0889552977577175,4195894092947.4736,17.43950891494751,3.4856114387512207,20.92512035369873
797,5,30,14,36982761.53249502,0.0889552977577175,3467215737725.397,18.68582034111023,3.4856114387512207,22.17143177986145
798,5,30,15,36982761.53249502,0.0889552977577175,5202102809420.7,19.846943855285645,3.4856114387512207,23.332555294036865
799,5,30,16,36982761.53249502,0.0889552977577175,5014485953762.393,21.12485218048096,3.4856114387512207,24.610463619232178
800,5,30,17,36982761.53249502,0.0889552977577175,5311628297461.298,22.26023745536804,3.4856114387512207,25.745848894119263
801,5,30,18,36982761.53249502,0.0889552977577175,4342970266810.96,23.429999828338623,4.673036813735962,28.103036642074585
802,5,30,19,36982761.53249502,0.0889552977577175,5399587607199.897,24.7712676525116,4.673036813735962,29.44430446624756
803,5,30,20,36982761.53249502,0.0889552977577175,4321545291124.54,25.8955512046814,4.673036813735962,30.56858801841736
804,5,30,21,36982761.53249502,0.0889552977577175,6767645282118.077,27.240790843963623,4.673036813735962,31.913827657699585
805,5,30,22,36982761.53249502,0.0889552977577175,5593468160116.059,28.543779850006104,4.673036813735962,33.216816663742065
806,5,30,23,36982761.53249502,0.0889552977577175,6746904921498.923,29.81430292129517,5.815416574478149,35.629719495773315
807,5,30,24,36982761.53249502,0.0889552977577175,4733224030906.512,31.004578351974487,5.815416574478149,36.81999492645264
808,5,30,25,36982761.53249502,0.0889552977577175,5437452278398.187,32.24737763404846,5.815416574478149,38.06279420852661
809,5,30,26,36982761.53249502,0.0889552977577175,4513713817938.425,33.594685316085815,5.815416574478149,39.410101890563965
810,5,30,27,36982761.53249502,0.0889552977577175,5289382914642.201,34.85841131210327,5.815416574478149,40.67382788658142
811,5,31,0,33593035.42087919,0.0889552977577175,3409551933972.7563,1.2765467166900637,1.0809674263000488,2.3575141429901123
812,5,31,1,33683661.5177658,0.0889552977577175,4955721199769.147,2.5101683139801025,1.0809674263000488,3.591135740280152
813,5,31,2,35019545.32303689,0.0889552977577175,5507368376806.566,3.767024517059326,1.0809674263000488,4.847991943359375
814,5,31,3,35071982.21683609,0.0889552977577175,4831008517115.862,5.096662998199463,1.0809674263000488,6.177630424499512
815,5,31,4,35071982.21683609,0.0889552977577175,4504355531085.122,6.190382242202759,1.0809674263000488,7.271349668502808
816,5,31,5,35071982.21683609,0.0889552977577175,4152835572693.08,7.472626686096191,2.3424534797668457,9.815080165863035
817,5,31,6,35071982.21683609,0.0889552977577175,5535114538094.676,8.77019190788269,2.3424534797668457,11.112645387649536
818,5,31,7,35071982.21683609,0.0889552977577175,6139915524469.082,10.049705505371094,2.3424534797668457,12.39215898513794
819,5,31,8,35556234.11246731,0.0889552977577175,3639785388068.877,11.283268690109251,2.3424534797668457,13.6257221698761
820,5,31,9,35556234.11246731,0.0889552977577175,4828329847694.572,12.668569803237917,2.3424534797668457,15.01102328300476
